provider_id,provider_name,facility_type,rating,license_date,capacity,contact_email,geo_id,Active_Flag,Mentor_Assigned,Mentor_Contact
PRV_000028,"Patel, Ruiz and Reynolds",School,1.57,2021-10-02,236,kayla96@murphy.info,GEO_0074,0,Scott Cox,+1-987-777-5202x139
PRV_000029,"Snyder, Rice and Dean",Center,4.4,2023-09-25,59,qhall@morgan.biz,GEO_0057,0,Carlos Torres,507.991.0966x86034
PRV_000030,Smith-Lowe,Center,3.06,2024-02-12,238,osalazar@kim.com,GEO_0111,0,Robert Hester,(674)546-4475x16225
PRV_000031,"Hernandez, Sullivan and West",Center,2.33,2019-04-14,58,jonathongarcia@cannon-morrison.com,GEO_0111,1,Brett Parker,728.611.6042
PRV_000032,Miller-Clayton,School,4.34,2023-03-15,103,sarahfreeman@curtis.net,GEO_0085,1,Barbara Powell,(350)710-9646
PRV_000033,"Stone, Rodriguez and Peterson",Home,2.98,2020-04-06,99,monicajohnson@fowler.biz,GEO_0038,0,Mark Gibbs,(362)269-6550x263
PRV_000034,Phillips-Miller,Center,3.62,2022-05-09,11,bramirez@thomas-barnes.com,GEO_0192,0,Kara Ramos,477.290.3665
PRV_000035,"Crawford, Sweeney and Boyd",Home,2.04,2016-04-28,79,emily86@cervantes.com,GEO_0015,0,Marilyn Hester,850.821.4062x672
PRV_000036,Russell LLC,School,4.92,2016-10-17,123,jharding@davis.org,GEO_0066,0,Victor Brown,764.264.8158x8660
PRV_000037,"Ritter, Morris and Hunt",Home,2.92,2019-01-13,99,vanessa43@rodriguez.info,GEO_0028,0,Brian Williams,(786)946-0987x21073
PRV_000038,Andrews-Flores,Home,4.46,2025-01-16,215,vanderson@little.com,GEO_0002,1,Danielle Aguilar,(823)760-1287x73969
PRV_000039,"Snow, Pena and Terrell",Home,1.13,2016-08-28,255,allisontanner@howard.org,GEO_0193,1,Elizabeth Griffith MD,610.384.1454x3840
PRV_000040,Day Inc,Home,3.55,2025-11-04,247,joshua89@french-young.info,GEO_0046,0,John Miranda,+1-720-900-7496x0445
PRV_000041,"Mitchell, Thompson and Ward",School,2.55,2023-11-15,93,patriciagonzalez@joseph-diaz.com,GEO_0103,1,Monica Simon,905.849.1581x597
PRV_000042,Randolph-Sanders,School,1.79,2021-11-17,87,reedtony@adams.com,GEO_0133,0,Jeffrey Velez,460-916-3426
PRV_000043,Simon-Berry,School,2.01,2019-04-03,250,joseyoung@lucas.org,GEO_0005,1,Brian Johnson,(425)414-6791
PRV_000044,Tate Ltd,School,1.03,2019-07-18,210,ekramer@martin.biz,GEO_0058,1,Jennifer Caldwell,001-950-375-3770
PRV_000045,"Hall, Taylor and Bailey",School,2.09,2016-10-19,259,hbrown@dunn.net,GEO_0064,0,Mary Ramsey,676.854.8114
PRV_000046,Mason Inc,Home,2.15,2022-08-03,80,rthomas@harvey-vaughn.info,GEO_0009,1,Austin Howell PhD,598-416-6361
PRV_000047,Daniel LLC,Center,1.71,2023-11-02,119,tyler32@thomas-jackson.com,GEO_0163,0,Lauren Johnson,970.941.8036x66351
PRV_000048,"York, Solomon and Conner",Center,2.05,2018-05-31,86,fpratt@campbell.com,GEO_0117,1,Donna Anderson,3757974151
PRV_000049,Crane-Conway,Home,2.91,2025-06-26,114,lisaramirez@mejia.com,GEO_0194,0,Angela Garcia,001-241-917-3521
PRV_000050,"Acevedo, Daniel and Brown",Center,2.69,2020-01-20,90,dannypatton@pham.com,GEO_0098,1,Kyle Smith,480.986.0572
PRV_000051,Carr Group,School,2.19,2024-09-03,298,andersonseth@shannon-martin.com,GEO_0185,1,John Kline,8688647048
PRV_000052,"Dyer, Reyes and Tran",School,1.47,2018-10-14,8,kenneth67@espinoza.biz,GEO_0157,0,Cheryl Brewer,9048407017
PRV_000053,Wilson LLC,Home,4.6,2022-05-16,241,uwilson@bartlett.info,GEO_0091,0,Carmen Peterson,708.261.4275x139
PRV_000054,Duncan Ltd,Center,1.49,2023-07-13,177,jacob76@townsend.com,GEO_0012,1,Trevor Parker,001-211-669-7427
PRV_000055,"Jackson, Meyers and Lynn",Home,1.66,2016-01-18,226,scotttyler@hernandez-perez.com,GEO_0005,1,Charlene Jones DDS,741-416-6503x9352
PRV_000056,Collins and Sons,Home,4.96,2025-11-01,275,susanscott@rodriguez.com,GEO_0144,1,Charles Robertson,001-360-329-5216x43024
PRV_000057,Newman-Harris,School,4.13,2019-10-09,64,donnascott@mueller.com,GEO_0120,1,Anna Marquez,001-559-473-4914x069
PRV_000058,Rogers-Lawson,Home,4.98,2020-02-26,289,rross@smith-day.biz,GEO_0044,0,Michael Ward,(379)598-6240
PRV_000059,Lewis-Patel,School,4.01,2022-08-03,292,mullinsrick@fernandez.com,GEO_0184,0,Kevin Barton,+1-469-850-4751x902
PRV_000060,"Ryan, Wheeler and Williamson",School,3.82,2019-09-27,41,zanderson@bell.com,GEO_0062,0,Brandy Allen,+1-214-387-9147x5759
PRV_000061,Stephens-Myers,Home,1.57,2017-06-16,296,robin64@campbell-roman.net,GEO_0053,1,Erica Meyer,660.778.3271x866
PRV_000062,Williams PLC,Home,1.15,2020-03-07,186,cindyrobinson@bates.com,GEO_0178,0,John Hansen,813-207-3995x1548
PRV_000063,"Salas, Miller and Vargas",School,3.84,2025-07-09,170,stephen08@torres.com,GEO_0145,0,Carol Barrera,+1-683-970-0561x696
PRV_000064,"Garcia, Hoffman and Steele",Center,3.93,2020-03-30,246,obush@mckenzie.org,GEO_0096,1,Michael Sanchez,228.996.7337
PRV_000065,Mitchell-Anderson,Home,2.98,2023-10-02,233,nelsoncraig@santos.net,GEO_0027,0,Brian Ray,988.390.2682
PRV_000066,"Cruz, Mitchell and Henderson",Center,4.93,2024-03-06,149,megan96@rodriguez-chandler.biz,GEO_0122,1,Jennifer Miranda,218.879.3548x86869
PRV_000067,Brown-Hawkins,Center,2.81,2019-06-13,140,jeffrey00@allen-velazquez.com,GEO_0138,0,Matthew Chen,001-415-952-3900x3592
PRV_000068,Campbell and Sons,Center,3.72,2017-06-18,231,mpeters@schmidt.com,GEO_0181,1,Craig Chambers,739.575.4252
PRV_000069,Clark PLC,Home,3.92,2021-08-14,202,jonathanjames@odonnell.info,GEO_0166,1,Amanda Mendez,001-511-451-1866x8977
PRV_000070,Harris-Garcia,School,1.55,2017-08-02,216,sherrybryan@martin.com,GEO_0144,1,Rebecca Ball,259.576.2995
PRV_000071,Brown PLC,Center,3.92,2024-06-16,56,browe@webb.com,GEO_0005,0,Terry Oconnor,+1-555-910-1971x935
PRV_000072,"Rodriguez, Jones and White",School,3.04,2025-07-03,24,ryanclarke@singh-wallace.com,GEO_0189,1,Joseph Wilson,+1-848-545-8786x7577
PRV_000073,Carson-Sutton,School,4.47,2021-08-17,57,rebecca30@sanders.net,GEO_0017,0,Russell Herrera,8613748876
PRV_000074,Ayala Ltd,Home,4.05,2020-01-23,218,phernandez@evans.org,GEO_0067,0,Erin Montoya,545-918-7778
PRV_000075,Cole-Houston,Home,1.57,2024-12-04,94,sandra92@hayden.net,GEO_0053,1,Christopher Lambert,693-268-1668x88337
PRV_000076,Summers-Hanson,School,1.97,2024-07-24,43,watsonjamie@chavez-garza.com,GEO_0020,0,Adrian Schwartz,+1-233-781-9166x832
PRV_000077,Whitehead LLC,School,1.43,2022-06-29,17,amber24@baldwin.com,GEO_0045,0,Timothy Davis,445.586.0295
PRV_000078,"Phillips, Torres and Moore",Home,3.01,2019-09-01,280,sbradley@thomas.org,GEO_0177,0,Mr. Brian Franklin,723.424.9887x05074
PRV_000079,Smith Inc,Home,2.2,2024-05-14,128,eric95@lopez.net,GEO_0039,0,April Burgess,(479)620-7554
PRV_000080,Kent Ltd,Home,2.46,2020-03-06,35,sheri43@andrews-campbell.biz,GEO_0035,0,Brian Hawkins,2143102732
PRV_000081,Hood and Sons,Home,3.91,2021-07-02,78,millercharles@hayes.com,GEO_0138,1,Steven Jones,+1-666-510-6554
PRV_000082,Hunt-Khan,Center,1.39,2021-12-07,153,mcastillo@fleming-ryan.info,GEO_0129,1,Johnny Alvarez,263-764-7593
PRV_000083,"Mcdonald, Berry and Rivas",School,4.66,2025-05-03,187,alanholland@mays.info,GEO_0029,1,Allison Meyer,9279338664
PRV_000084,Roy LLC,Home,3.95,2016-06-03,28,thomas59@davis.net,GEO_0155,1,Jessica Little,001-767-291-8691x80404
PRV_000085,Mccullough and Sons,Center,3.96,2022-10-01,7,bethmathis@carr-torres.org,GEO_0142,0,Valerie Bell,205-701-4431
PRV_000086,Sparks Ltd,Center,4.6,2025-08-21,162,jordanlucas@rogers-richard.com,GEO_0034,0,Maria Jackson,502-844-2074x51308
PRV_000087,Johnson-White,School,4.78,2018-01-08,210,awallace@brown.com,GEO_0200,0,Jennifer Snyder,462.519.5623x5322
PRV_000088,Robinson-Ramirez,Center,4.07,2025-06-07,277,mooremichael@moore-malone.net,GEO_0102,1,David Elliott,4715715287
PRV_000089,Long Group,Home,1.94,2021-11-02,253,ywatson@alvarado.com,GEO_0073,1,Kelly Parker,712.338.8956
PRV_000090,Griffith PLC,Home,1.17,2016-02-29,31,tinaadams@phillips-davis.com,GEO_0181,1,Michelle Wilson,+1-869-418-1589x20649
PRV_000091,"Green, Neal and Miller",School,3.48,2019-08-10,272,uthompson@jackson.com,GEO_0033,0,Kyle Peterson,+1-951-399-1546x836
PRV_000092,Harvey Ltd,School,1.72,2022-03-29,298,bgordon@hicks.com,GEO_0090,1,Jonathan Harris,956.512.9294
PRV_000093,Freeman-Ward,Center,4.56,2025-10-11,122,doylekevin@lewis.com,GEO_0135,1,Vanessa Townsend,+1-915-526-0343x938
PRV_000094,"Rose, Norman and Grimes",School,2.98,2017-08-13,227,walkerjennifer@rodriguez.com,GEO_0039,0,Shannon Bird,480-812-7190x8822
PRV_000095,Dunlap-Harper,Home,3.71,2022-02-06,55,iallen@garcia-hobbs.biz,GEO_0110,0,Ashley Jackson,778-841-4400
PRV_000096,"Hamilton, Howard and Adams",Center,1.42,2024-06-28,206,omcmahon@munoz.org,GEO_0039,1,John Cooper,(942)784-8371
PRV_000097,Gonzales-Warner,School,2.81,2025-09-12,69,goldenlori@kim-knox.biz,GEO_0072,1,John Long,(864)798-3469x475
PRV_000098,"Buck, Crosby and Jackson",School,4.28,2025-05-25,88,brittneyrivera@miller.net,GEO_0071,0,Steven Allen,966-934-6144x76289
PRV_000099,Blackwell and Sons,Home,2.39,2017-05-13,89,barneseric@mcmillan.com,GEO_0169,1,Mr. Kenneth Gonzalez,324.394.5011
PRV_000100,Peters Ltd,School,2.23,2016-06-14,234,jared74@reese.info,GEO_0200,1,Jerry Freeman,+1-323-590-9933x9315
PRV_000101,Schmidt-Conley,School,2.98,2025-04-29,32,qhayden@gardner.com,GEO_0135,0,Mr. Timothy Woodard DDS,(339)691-3746
PRV_000102,Goodman Inc,Center,4.9,2020-05-15,28,maureen37@ford-ali.com,GEO_0101,0,Ian Cooper,988-826-1274
PRV_000103,Davis-Romero,Center,2.06,2021-08-07,95,ashleylong@barber.com,GEO_0049,0,Eugene Lam,363-678-0274
PRV_000104,Mckenzie-Jones,Home,1.96,2024-04-05,211,vwarner@smith.com,GEO_0154,1,James Jimenez,559.460.9955
PRV_000105,Willis Inc,Center,3.98,2025-05-11,52,castroalexis@owens-haynes.com,GEO_0162,0,Dr. Tamara Mcpherson MD,+1-528-612-0128x744
PRV_000106,"Dunlap, Woods and Davis",School,2.78,2024-09-26,226,rivasclaudia@green-poole.com,GEO_0131,0,Carrie Gray,477-622-5210
PRV_000107,Fox-Stanton,Center,2.46,2021-01-17,228,samuel85@garcia-powell.com,GEO_0182,0,Alexis Sullivan,001-228-612-3257x4866
PRV_000108,Bell Ltd,Home,1.54,2024-04-05,297,phyllissherman@mcdonald.org,GEO_0183,0,Thomas Jones,001-642-699-5325x50803
PRV_000109,"Greene, Ayers and Paul",School,3.32,2016-05-05,184,dsnyder@perry-mcgee.net,GEO_0113,0,Mallory Sparks,001-349-407-0004
PRV_000110,"Thompson, Pope and Massey",Center,4.66,2017-12-26,114,oneillkristopher@roach.net,GEO_0121,0,Karen Villa,545-499-6885
PRV_000111,Grant Inc,Home,3.05,2016-12-25,157,austin08@bailey.com,GEO_0183,1,Kristie Jones,001-543-762-8631
PRV_000112,Smith PLC,School,4.86,2024-03-05,118,pclay@macias-lee.com,GEO_0025,1,Crystal Liu,001-380-543-0190x71079
PRV_000113,Mcintyre-Dominguez,Home,3.86,2025-01-05,97,jonathanjackson@barker.org,GEO_0081,1,David Welch,+1-964-315-6500x64765
PRV_000114,Kline-Villa,Home,4.01,2016-04-14,178,barbara71@stark.com,GEO_0097,0,Kendra Smith,428.538.8771x521
PRV_000115,Brandt-Miller,Center,2.98,2021-01-13,36,denise68@tucker.biz,GEO_0085,0,April Beck,(371)426-4600
PRV_000116,Watts PLC,School,4.28,2025-08-10,204,keithreed@payne.net,GEO_0032,0,Robert Dunlap,(786)460-8427x37182
PRV_000117,Stout Group,Center,3.94,2016-07-05,137,nicole94@mitchell-pollard.com,GEO_0016,0,Adrian Scott,279.793.1923x744
PRV_000118,"Delgado, Williams and Schmidt",School,3.05,2024-04-21,205,lisawarren@grant.com,GEO_0196,1,Kenneth Rollins,+1-921-359-6252x71952
PRV_000119,"Morales, Oneal and Mitchell",Home,2.42,2016-01-09,17,vincentbrent@chambers-gonzalez.org,GEO_0012,1,Derrick Rodriguez,001-758-501-7086x89330
PRV_000120,Taylor-Dean,School,3.64,2025-02-21,19,adkinseric@barker-fisher.org,GEO_0031,1,Linda Kennedy,600.592.4757x817
PRV_000121,Rodriguez Group,School,1.47,2015-12-09,51,derek80@duncan.com,GEO_0134,1,Gregory Strickland,543-984-0034x6207
PRV_000122,"Perkins, Jones and Graham",Center,4.07,2020-04-09,194,lisakelly@clark.biz,GEO_0001,0,Joshua Morris,677-993-0068x5540
PRV_000123,Phillips and Sons,Home,2.82,2021-06-20,186,melaniehernandez@gray.org,GEO_0197,0,John Zamora,2909570370
PRV_000124,Wood LLC,School,2.82,2023-10-29,65,hartmanangela@meyer.com,GEO_0187,0,Gary Campos,+1-576-624-5204x80057
PRV_000125,"Collins, Adams and Simmons",Center,1.32,2020-03-24,208,dylan30@griffith-avila.net,GEO_0060,1,Hannah Jones,001-976-944-9678x2530
PRV_000126,Maddox LLC,Center,4.94,2025-10-30,228,joshuaritter@walls-humphrey.com,GEO_0081,0,Dennis Cohen,488-219-2476x712
PRV_000127,"Martinez, Norris and Cervantes",Home,2.05,2023-06-30,8,valerienorris@mathis-rodriguez.com,GEO_0110,1,Jessica Perkins,(272)699-1776
PRV_000128,"Clark, Sanders and Lee",Home,3.8,2023-09-18,247,jenniferhernandez@yang.com,GEO_0121,0,Carl Smith,6234104991
PRV_000129,"Cook, Green and Shepherd",Center,3.78,2016-06-28,96,jonathan90@banks.com,GEO_0177,0,Dakota Scott,(677)261-3959
PRV_000130,Hernandez Inc,Center,4.14,2017-01-29,280,wilsonmelissa@navarro.org,GEO_0186,1,Erica Mccarty,+1-880-672-8952x35370
PRV_000131,Vega-Peters,Home,4.98,2024-06-05,295,natasha72@martin.info,GEO_0190,1,Justin Miller,235-910-7311x25132
PRV_000132,Cook-Robinson,Center,3.41,2021-10-29,279,rachelherring@butler.com,GEO_0039,0,Phyllis Flores,001-500-821-0625x9467
PRV_000133,Potter-Arroyo,Home,4.34,2019-04-18,203,freyes@nichols.com,GEO_0023,1,Joseph Powell,+1-526-928-7794x275
PRV_000134,Zuniga and Sons,Home,3.32,2015-12-24,171,warnervalerie@jackson.com,GEO_0085,1,Ryan Wilson,8423037398
PRV_000135,Lee-White,School,4.41,2023-03-30,267,laurenmedina@pacheco-vasquez.org,GEO_0047,1,April Jackson,481-890-3219x778
PRV_000136,Gomez-Barnett,School,1.3,2022-08-20,121,jenniferduncan@martinez.net,GEO_0072,1,Joseph Thomas,695.413.5967x75287
PRV_000137,Taylor Ltd,Home,1.03,2021-12-26,29,amandaross@dixon-murillo.com,GEO_0006,1,Jesus Blackburn,001-306-488-3125x68001
PRV_000138,"Gregory, Marshall and Randolph",Home,4.88,2017-04-22,268,jeremy43@meyer-weaver.biz,GEO_0148,0,David Dominguez,001-852-835-5577
PRV_000139,"Cummings, Graves and Brown",School,2.58,2021-06-16,119,aaronbarry@rodriguez.com,GEO_0058,1,Sarah Myers,2786686785
PRV_000140,Stewart PLC,School,2.21,2020-05-14,228,yoderjasmine@barker-wong.com,GEO_0181,0,Antonio Lee,001-239-557-1700
PRV_000141,Keller-Turner,Center,3.52,2024-04-15,220,brandiwhitaker@harris-williams.org,GEO_0137,0,Mary Zamora,9829443889
PRV_000142,"Jones, Warner and Cameron",School,1.4,2021-03-22,160,wrussell@fuller-cantu.biz,GEO_0061,1,Mr. Gary Nguyen,514.800.5038x08462
PRV_000143,Villegas Inc,Center,4.7,2018-01-03,52,selenahiggins@anderson.info,GEO_0092,1,Tyler Rios,(424)642-1961x765
PRV_000144,"Combs, Kelly and Ware",School,3.36,2022-12-25,217,zlopez@lopez.com,GEO_0035,1,Maria Wilson,836.737.5744x19481
PRV_000145,"Weber, Spears and Montoya",Home,4.99,2021-12-16,196,adamvalencia@mills.info,GEO_0128,1,Mary Taylor,001-576-601-5021
PRV_000146,Vincent-Roman,Home,2.31,2017-06-06,13,cookmaria@gordon-dodson.com,GEO_0082,1,Carla Patterson,416-725-2294
PRV_000147,Huber-Sims,Home,4.42,2017-07-17,247,ryan26@daniels-webster.com,GEO_0104,0,Brian Hamilton,(471)233-9212x330
PRV_000148,Arias Group,Home,3.15,2025-04-07,204,ashley53@thompson.org,GEO_0021,1,Darrell Trevino,(441)546-5493x72470
PRV_000149,"Buchanan, Rodriguez and Kim",School,3.09,2023-09-03,192,kcook@murray.com,GEO_0116,1,Mary Griffin,3819027027
PRV_000150,"Chandler, Quinn and Peterson",School,2.12,2020-05-15,205,nataliesmith@thomas.com,GEO_0021,1,Tracy Robbins,+1-967-707-1251
PRV_000151,Warner-Li,Home,2.51,2021-05-24,251,vanessaavila@sandoval.com,GEO_0169,1,Brandy Rhodes,(452)309-2133
PRV_000152,"Bennett, Brown and Whitaker",Home,3.27,2017-06-12,127,smithcrystal@hamilton-morris.org,GEO_0052,0,Gina Walker,9997820422
PRV_000153,"Powell, Gutierrez and Moran",Center,4.95,2022-06-01,280,timothy26@davis-smith.info,GEO_0147,1,Jose Marsh,+1-720-221-6762x1632
PRV_000154,Richard-Rosales,Center,3.58,2023-06-20,184,sherrera@roberts.org,GEO_0118,1,Tommy Miller,2769824408
PRV_000155,Moyer-Blackwell,School,1.85,2016-01-22,239,fvaughan@aguilar.org,GEO_0175,0,Tammy Jones,879-952-3846x20339
PRV_000156,"Shaffer, Martin and Becker",School,3.93,2018-03-28,193,kellyleon@patterson.biz,GEO_0158,0,Gina Bush,+1-615-635-9561x2229
PRV_000157,"Preston, Garcia and Oliver",School,1.38,2022-03-07,38,swilliams@brown-perry.com,GEO_0178,1,David Ayers,292-282-2919
PRV_000158,"Ritter, Gordon and Weeks",Center,2.27,2025-06-20,233,stephanie89@martin.biz,GEO_0097,1,Brenda Davis,001-592-232-2924
PRV_000159,Clark Group,Home,3.35,2023-12-31,50,nlopez@brown.org,GEO_0126,1,Richard Wright,969.609.9455x093
PRV_000160,Hernandez-Marquez,Center,3.92,2023-06-21,150,terrellaustin@bryant.net,GEO_0034,1,Jenny Reed,468-548-4359
PRV_000161,Allen PLC,School,4.18,2023-09-22,188,hfrank@arnold-holland.info,GEO_0194,0,Alexander Turner,+1-343-313-5209x6265
PRV_000162,"Cohen, Ramirez and Robinson",Home,1.92,2025-09-17,92,julie09@davis-robinson.com,GEO_0119,1,Corey Wells,+1-214-322-0178x93163
PRV_000163,Thompson LLC,School,1.76,2018-12-30,90,tnavarro@middleton.com,GEO_0115,0,John Kim,+1-634-564-3510x28116
PRV_000164,"Myers, Blackwell and Hill",Home,1.83,2016-03-07,163,garciamatthew@howard-dougherty.com,GEO_0004,0,Leslie Bennett,885-892-2081
PRV_000165,Rogers Inc,Center,2.09,2021-03-17,40,tylerskinner@ramirez-stone.com,GEO_0069,1,Teresa Walters,876.503.1682x109
PRV_000166,"Perkins, Willis and Monroe",Center,1.5,2020-04-20,142,roy84@winters.com,GEO_0021,0,David Williams,001-936-363-5120
PRV_000167,Cantu-Cruz,Center,3.51,2021-03-18,64,hartphillip@dunn.info,GEO_0047,0,Charles Wagner,(318)803-8442x54146
PRV_000168,Lee-Rodriguez,Home,1.71,2017-11-02,33,wellsstephen@avery-davis.net,GEO_0083,1,Karen Wright,403-823-7304
PRV_000169,Horn LLC,Center,3.55,2019-01-16,297,davidritter@turner.com,GEO_0103,0,Steven House,636-394-1813x2563
PRV_000170,"Klein, Ferguson and Wright",Center,4.6,2022-10-30,16,mjohnson@lopez.com,GEO_0040,1,Erik Williams,001-723-884-7266x089
PRV_000171,"Galloway, Todd and Kelly",Center,4.32,2023-10-23,170,morganmichelle@martin.org,GEO_0196,1,Timothy Perry,+1-366-842-8052
PRV_000172,"Joseph, Walker and Thomas",Home,1.41,2017-06-25,113,anguyen@molina.com,GEO_0068,0,Mr. Carlos Dougherty,001-487-352-3866x80381
PRV_000173,Haley-Sanchez,Center,4.95,2020-03-10,298,zstevens@rivera-duncan.com,GEO_0131,1,William Jones,(662)555-0161x6800
PRV_000174,Robinson-Riley,Home,2.12,2017-11-19,16,john15@curtis-sandoval.biz,GEO_0197,0,Ernest Powell,989-530-2374x68012
PRV_000175,White PLC,School,3.14,2015-12-13,150,pjensen@brown.com,GEO_0116,1,Brittany Schultz,456-999-0068x8963
PRV_000176,Griffin and Sons,School,3.95,2023-03-02,26,winterspatrick@burke.com,GEO_0134,1,Roy Webb,664.930.2991
PRV_000177,Spears-Kennedy,Home,2.0,2024-07-26,33,schmidttammy@nguyen.org,GEO_0019,0,Julie Jones,5689608649
PRV_000178,"Fowler, Kidd and Avila",Home,4.17,2021-12-01,142,lisa65@robbins.com,GEO_0153,0,Tiffany Ward,001-356-633-6518x31779
PRV_000179,"Williams, Alvarez and Parsons",Home,1.67,2024-09-20,153,ujenkins@hernandez.com,GEO_0156,1,Christopher Marquez,(257)414-1044
PRV_000180,"Knight, Espinoza and Kirk",Center,3.34,2020-01-02,138,ocook@diaz-hampton.com,GEO_0052,1,Richard Davis,2217397648
PRV_000181,Brown Group,Center,3.57,2021-07-21,58,sandra37@cantu.com,GEO_0092,0,Christopher Aguirre,617-747-1500x836
PRV_000182,Carter-Wallace,Home,1.96,2022-09-03,288,charleshill@barnes.com,GEO_0200,1,Jennifer Griffith,432-793-6529
PRV_000183,Reyes Group,Center,3.77,2024-09-29,63,kyle35@rodriguez.com,GEO_0122,1,Deborah Ali,001-598-629-4694x0410
PRV_000184,"Martinez, Martinez and Beck",School,1.6,2022-07-31,241,troy02@allen.com,GEO_0043,0,Michael Hill,267.556.8341x32618
PRV_000185,"Kim, Yang and Garcia",Center,3.57,2025-09-14,221,emilynguyen@jones.com,GEO_0091,0,John Day,(404)719-5450x021
PRV_000186,Johnson-Haas,Home,1.03,2019-09-04,293,sanderstammy@hall.com,GEO_0106,1,Marcus Carr,+1-824-663-7733x4440
PRV_000187,"Smith, Hester and Garcia",Home,2.21,2021-07-06,122,larry85@moore.com,GEO_0170,0,Steven Scott,557-888-0325x212
PRV_000188,"Ortiz, Combs and Elliott",Center,2.75,2025-01-01,180,shepardchristina@simon-frost.org,GEO_0063,1,Deborah Powell,267-802-2928x320
PRV_000189,"Welch, Vargas and Olson",Center,3.1,2022-04-21,34,shawnbrown@torres-bennett.biz,GEO_0126,0,Robert Garcia,+1-244-316-7434x1000
PRV_000190,"Deleon, Baker and Smith",Home,2.23,2021-10-29,288,kimberly14@dunn.org,GEO_0003,1,James Barton,+1-849-544-4061x514
