child_id,family_id,child_name,first_name,last_name,gender,dob,race,ethnicity,birth_weight,special_needs_flag,guardian_email,enrollment_status,zip_code
CH_000077,FAM_002042,Nicole Johnson,Nicole,Johnson,F,2020-12-13,RaceA,Asian,2.43,0,powersmichelle@example.com,Active,33269
CH_000078,FAM_000321,Kimberly Smith,Kimberly,Smith,Other,2025-03-20,RaceB,Non-Hispanic,2.91,1,jhawkins@example.net,Waitlisted,84844
CH_000079,FAM_000968,Kevin Martin,Kevin,Martin,F,2025-04-16,RaceC,Black,2.41,0,amandaneal@example.net,Inactive,49156
CH_000080,FAM_001799,Joel Sanchez,Joel,Sanchez,Other,2020-05-15,RaceA,Hispanic,2.21,1,davisvanessa@example.org,Active,31172
CH_000081,FAM_001828,Brian Hayes,Brian,Hayes,F,2016-07-28,RaceA,Non-Hispanic,4.31,1,rle@example.org,Active,85692
CH_000082,FAM_002804,Patricia Mckenzie,Patricia,Mckenzie,Other,2024-07-16,RaceC,Hispanic,3.18,1,plee@example.com,Active,48027
CH_000083,FAM_000477,Victor Lopez,Victor,Lopez,Other,2022-06-17,RaceC,Black,2.17,0,monique98@example.org,Active,26675
CH_000084,FAM_002819,Andrew Becker,Andrew,Becker,F,2017-04-15,RaceB,Black,2.64,0,jermaine36@example.com,Inactive,89153
CH_000085,FAM_002768,Deborah Freeman,Deborah,Freeman,F,2018-01-09,RaceC,White,3.58,1,holmesjenna@example.org,Waitlisted,94178
CH_000086,FAM_002053,Timothy Clark,Timothy,Clark,Other,2022-11-21,RaceB,Asian,3.93,1,johnsonanthony@example.net,Active,05521
CH_000087,FAM_002050,Robert Kim,Robert,Kim,F,2019-06-24,RaceC,White,2.24,0,jennifer84@example.net,Waitlisted,10615
CH_000088,FAM_001701,Lisa Parker,Lisa,Parker,Other,2018-07-27,RaceA,Hispanic,4.27,0,rebecca79@example.com,Inactive,03996
CH_000089,FAM_000580,Erika Tucker,Erika,Tucker,Other,2017-02-21,RaceC,Hispanic,3.75,1,michelleburke@example.net,Waitlisted,02991
CH_000090,FAM_001744,Angie Hansen,Angie,Hansen,M,2021-09-12,RaceA,Hispanic,3.78,0,cruznicole@example.net,Active,10885
CH_000091,FAM_000986,Angela Webb,Angela,Webb,M,2016-07-06,RaceC,Hispanic,3.63,1,zschneider@example.org,Waitlisted,32032
CH_000092,FAM_002395,Lindsey Long,Lindsey,Long,F,2023-12-16,RaceA,Hispanic,4.01,1,penningtonmatthew@example.com,Inactive,38263
CH_000093,FAM_001452,Tommy Hernandez,Tommy,Hernandez,F,2021-03-21,RaceB,Non-Hispanic,4.97,0,jperez@example.net,Inactive,73185
CH_000094,FAM_001642,Casey Stuart,Casey,Stuart,M,2024-09-04,RaceC,Non-Hispanic,2.49,1,georgeavila@example.com,Waitlisted,28767
CH_000095,FAM_000437,Shawn Osborne,Shawn,Osborne,Other,2018-04-28,RaceC,Non-Hispanic,4.06,0,thomas60@example.com,Active,46321
CH_000096,FAM_000551,Nicole Higgins,Nicole,Higgins,M,2021-09-27,RaceC,Hispanic,2.57,1,seanleach@example.com,Inactive,49516
CH_000097,FAM_001646,Sydney Phillips,Sydney,Phillips,F,2018-04-19,RaceA,Hispanic,2.53,0,ariel46@example.net,Waitlisted,56762
CH_000098,FAM_001564,Dustin Boyd,Dustin,Boyd,Other,2019-10-11,RaceC,Black,4.82,0,johnallen@example.com,Active,07481
CH_000099,FAM_001805,Chad Gonzalez,Chad,Gonzalez,Other,2019-06-01,RaceB,Black,2.9,1,wesleysmith@example.org,Active,94818
CH_000100,FAM_002228,Paul Benjamin,Paul,Benjamin,F,2020-07-16,RaceC,White,4.26,0,nguyenmelissa@example.com,Active,42271
CH_000101,FAM_000897,Joseph Ferrell,Joseph,Ferrell,Other,2021-09-03,RaceB,Black,4.96,1,qroberts@example.org,Inactive,11197
CH_000102,FAM_000104,Kara Smith PhD,Kara,PhD,F,2021-05-27,RaceC,Asian,2.36,0,milleramy@example.org,Active,80308
CH_000103,FAM_001525,Max Banks,Max,Banks,F,2016-09-19,RaceC,Asian,3.75,0,angelacarter@example.com,Waitlisted,55528
CH_000104,FAM_001489,Monica Jones,Monica,Jones,Other,2023-09-09,RaceC,Black,3.33,1,christopherburke@example.org,Active,08733
CH_000105,FAM_002026,Jennifer Shaw,Jennifer,Shaw,F,2017-08-03,RaceB,Black,2.14,1,ashley17@example.org,Inactive,97333
CH_000106,FAM_000850,Amber Ibarra,Amber,Ibarra,Other,2015-04-11,RaceB,Non-Hispanic,4.12,1,james63@example.net,Active,11197
CH_000107,FAM_001880,Angela Bush,Angela,Bush,F,2022-04-23,RaceC,Non-Hispanic,4.3,1,anne52@example.org,Waitlisted,84844
CH_000108,FAM_000404,Michael Pham,Michael,Pham,M,2015-01-16,RaceB,Non-Hispanic,3.2,1,smithkerry@example.org,Waitlisted,54882
CH_000109,FAM_000802,Joseph Tapia,Joseph,Tapia,F,2024-07-18,RaceA,White,2.44,0,qpatel@example.org,Active,04195
CH_000110,FAM_002231,Kimberly James,Kimberly,James,M,2015-04-08,RaceA,Non-Hispanic,4.75,1,andrewpowell@example.org,Inactive,05521
CH_000111,FAM_002150,Melissa Young,Melissa,Young,M,2023-05-12,RaceC,Black,2.33,1,robertsandrew@example.org,Inactive,37433
CH_000112,FAM_001958,Scott Carter,Scott,Carter,F,2020-02-10,RaceC,White,3.93,0,pnovak@example.com,Active,58250
CH_000113,FAM_001174,Catherine Watson,Catherine,Watson,M,2023-07-07,RaceA,Asian,3.34,0,xrose@example.net,Active,93745
CH_000114,FAM_000191,Billy Castro,Billy,Castro,F,2021-04-09,RaceA,Hispanic,4.26,1,mstewart@example.org,Active,12750
CH_000115,FAM_000680,Robert Cox,Robert,Cox,F,2025-05-10,RaceB,Asian,2.95,1,paul77@example.net,Inactive,63492
CH_000116,FAM_002988,Jeffrey Blackburn,Jeffrey,Blackburn,M,2023-01-24,RaceA,Non-Hispanic,4.83,0,parkerseth@example.net,Inactive,73760
CH_000117,FAM_000573,Carla Montoya,Carla,Montoya,F,2015-10-20,RaceC,Asian,4.57,0,gilbertalicia@example.net,Inactive,54882
CH_000118,FAM_000891,Jeffrey Williams,Jeffrey,Williams,F,2017-03-25,RaceC,Asian,2.24,1,qnewton@example.net,Active,58723
CH_000119,FAM_002816,Shawn Reed,Shawn,Reed,F,2021-09-29,RaceB,Black,2.78,0,alexjennings@example.net,Inactive,37744
CH_000120,FAM_002685,William Cruz,William,Cruz,M,2022-10-19,RaceC,Non-Hispanic,3.99,1,twright@example.com,Active,15074
CH_000121,FAM_002939,Sabrina Flores,Sabrina,Flores,F,2025-09-02,RaceB,Non-Hispanic,4.48,0,sscott@example.com,Waitlisted,29603
CH_000122,FAM_001183,Clarence Jones,Clarence,Jones,F,2017-11-02,RaceC,White,2.77,0,bowmanjames@example.com,Active,60415
CH_000123,FAM_002733,Natalie James,Natalie,James,M,2016-03-08,RaceB,Hispanic,2.39,1,jennifer37@example.org,Active,87288
CH_000124,FAM_001560,Melissa Peck,Melissa,Peck,M,2020-03-18,RaceB,Black,3.43,0,shaunmullins@example.com,Inactive,48250
CH_000125,FAM_000282,Susan Anderson,Susan,Anderson,M,2021-04-16,RaceB,Asian,4.14,1,ryan12@example.org,Active,18641
CH_000126,FAM_001237,James Williams,James,Williams,F,2015-06-24,RaceB,White,4.62,0,clarkbrian@example.com,Waitlisted,87261
CH_000127,FAM_001218,Susan Jackson,Susan,Jackson,M,2025-06-02,RaceA,Hispanic,4.97,0,robert89@example.com,Waitlisted,59342
CH_000128,FAM_001602,Shawn Whitehead,Shawn,Whitehead,M,2015-05-02,RaceA,Asian,4.72,0,williamsalyssa@example.org,Waitlisted,38678
CH_000129,FAM_001562,Mathew Mendoza,Mathew,Mendoza,Other,2022-05-03,RaceB,Non-Hispanic,4.76,0,jamesscott@example.com,Waitlisted,38678
CH_000130,FAM_000721,Bonnie Stokes,Bonnie,Stokes,Other,2016-03-23,RaceC,White,3.91,0,hamiltonvanessa@example.com,Active,51116
CH_000131,FAM_002025,Lawrence Dunlap,Lawrence,Dunlap,F,2015-09-25,RaceA,White,4.97,1,malvarado@example.com,Inactive,76881
CH_000132,FAM_001738,Michael Snyder,Michael,Snyder,F,2023-11-05,RaceB,Hispanic,4.41,0,millernathaniel@example.net,Active,49641
CH_000133,FAM_000839,Tonya Valdez,Tonya,Valdez,F,2020-01-09,RaceC,Asian,4.32,1,saraterry@example.org,Waitlisted,73634
CH_000134,FAM_002980,Lindsey Moore,Lindsey,Moore,F,2020-10-30,RaceC,White,2.5,1,qbraun@example.org,Inactive,61975
CH_000135,FAM_000895,Alexander Fischer,Alexander,Fischer,Other,2023-01-27,RaceC,Asian,2.53,0,charles00@example.org,Inactive,28767
CH_000136,FAM_000004,Thomas Perez,Thomas,Perez,M,2024-05-31,RaceB,Hispanic,3.03,0,tabitha35@example.org,Waitlisted,36256
CH_000137,FAM_001216,Laura Berry,Laura,Berry,F,2025-05-02,RaceA,White,4.05,1,randy91@example.org,Active,38102
CH_000138,FAM_002786,Daniel Robinson,Daniel,Robinson,M,2014-12-30,RaceB,Asian,3.36,0,faulknerpaul@example.net,Waitlisted,86491
CH_000139,FAM_000453,Brian Rogers,Brian,Rogers,M,2020-02-09,RaceC,Non-Hispanic,2.1,0,camachosheila@example.net,Waitlisted,84541
CH_000140,FAM_000294,Tamara Miller,Tamara,Miller,M,2015-08-25,RaceB,White,3.47,0,patrickwells@example.net,Waitlisted,30194
CH_000141,FAM_001873,Michael Brooks,Michael,Brooks,F,2022-07-12,RaceA,Hispanic,3.55,1,davisrobert@example.com,Active,97316
CH_000142,FAM_001705,Ryan Delgado,Ryan,Delgado,M,2019-11-24,RaceA,Black,4.42,1,zacharymartin@example.com,Inactive,72433
CH_000143,FAM_000397,John Jordan MD,John,MD,Other,2015-04-16,RaceC,White,3.94,1,anthonyward@example.org,Active,38102
CH_000144,FAM_002803,Nicole Mason,Nicole,Mason,Other,2021-11-07,RaceB,Non-Hispanic,3.57,1,brendan58@example.com,Inactive,40984
CH_000145,FAM_001222,Carla English,Carla,English,M,2023-03-27,RaceC,Black,4.35,1,mitchelljacob@example.org,Waitlisted,20098
CH_000146,FAM_000714,Penny Smith,Penny,Smith,Other,2021-01-06,RaceB,Non-Hispanic,3.31,0,murraydeborah@example.org,Waitlisted,34045
CH_000147,FAM_002565,Susan Hensley,Susan,Hensley,Other,2021-05-01,RaceA,Asian,2.81,1,laurenwalters@example.com,Waitlisted,11197
CH_000148,FAM_002749,Steven Jackson,Steven,Jackson,F,2023-10-15,RaceB,Black,2.67,1,alejandra11@example.org,Waitlisted,67149
CH_000149,FAM_000419,Kelsey Harris,Kelsey,Harris,Other,2022-12-16,RaceA,Black,4.2,1,allenmatthew@example.org,Waitlisted,61988
CH_000150,FAM_001535,Timothy Wallace,Timothy,Wallace,Other,2018-04-29,RaceA,Non-Hispanic,4.26,1,jefferysoto@example.net,Waitlisted,52465
CH_000151,FAM_000761,Angelica Adams,Angelica,Adams,M,2021-10-09,RaceC,Hispanic,4.67,0,jasonhiggins@example.org,Active,17402
CH_000152,FAM_001211,Stefanie Brown,Stefanie,Brown,F,2019-11-04,RaceC,Hispanic,4.97,1,lucasjenkins@example.org,Waitlisted,41163
CH_000153,FAM_002095,Randy Farley,Randy,Farley,F,2015-07-03,RaceB,White,3.2,0,matthew18@example.net,Inactive,66300
CH_000154,FAM_000929,Tyler Allison,Tyler,Allison,F,2024-08-28,RaceB,Black,2.01,1,jeffrey92@example.org,Waitlisted,61014
CH_000155,FAM_000462,Anthony Peck,Anthony,Peck,Other,2020-07-12,RaceA,Non-Hispanic,3.94,0,kaitlyncastillo@example.org,Inactive,47926
CH_000156,FAM_002462,Brittany Neal,Brittany,Neal,M,2024-08-28,RaceB,Black,3.65,1,qgreen@example.com,Inactive,49878
CH_000157,FAM_001626,Vincent Allison,Vincent,Allison,M,2016-12-16,RaceA,Asian,2.01,0,tiffany37@example.org,Active,08733
CH_000158,FAM_002179,Eric Huber,Eric,Huber,M,2019-02-18,RaceC,Hispanic,4.85,1,proctorkathy@example.org,Waitlisted,18531
CH_000159,FAM_001727,Dawn Watson,Dawn,Watson,F,2023-09-07,RaceA,Hispanic,3.46,1,christinewright@example.net,Waitlisted,49516
CH_000160,FAM_000849,John Clark,John,Clark,Other,2025-05-27,RaceB,Asian,4.86,1,kimberly86@example.com,Inactive,51168
CH_000161,FAM_001703,Amber Wise,Amber,Wise,F,2018-09-07,RaceA,White,4.24,1,andrewwatts@example.org,Inactive,84249
CH_000162,FAM_001073,James Lopez,James,Lopez,M,2023-06-20,RaceA,Hispanic,3.15,0,gregory13@example.com,Waitlisted,81085
CH_000163,FAM_001963,Raymond Moreno,Raymond,Moreno,Other,2018-08-08,RaceC,Asian,4.28,1,juliesmith@example.org,Inactive,78494
CH_000164,FAM_000112,Sherry Perry,Sherry,Perry,M,2024-03-12,RaceA,Black,4.86,1,ymanning@example.net,Waitlisted,17402
CH_000165,FAM_001026,Charles Meyer,Charles,Meyer,Other,2018-04-05,RaceC,White,3.07,0,kevin60@example.org,Active,15031
CH_000166,FAM_001591,Michael Bennett,Michael,Bennett,F,2017-04-01,RaceB,White,3.56,1,pamelaserrano@example.com,Waitlisted,59631
CH_000167,FAM_001283,Bryan Flores,Bryan,Flores,M,2019-02-26,RaceC,Hispanic,4.71,0,jamesbray@example.org,Active,44195
CH_000168,FAM_001545,Matthew Reyes,Matthew,Reyes,M,2025-04-20,RaceB,Asian,4.86,1,smithtina@example.org,Inactive,15031
CH_000169,FAM_002207,Nancy Phillips,Nancy,Phillips,M,2022-11-13,RaceC,Asian,4.18,0,tasha78@example.org,Active,06759
CH_000170,FAM_002316,Larry Howard,Larry,Howard,Other,2018-06-26,RaceC,Asian,4.74,0,uewing@example.com,Waitlisted,78716
CH_000171,FAM_001588,Susan Garcia,Susan,Garcia,Other,2022-08-22,RaceC,Hispanic,2.95,0,nicolehuerta@example.com,Waitlisted,45292
CH_000172,FAM_002430,Edward Mclean,Edward,Mclean,Other,2021-10-29,RaceB,White,4.52,1,mlewis@example.net,Active,78716
CH_000173,FAM_002092,Crystal Carr,Crystal,Carr,F,2024-05-24,RaceB,Asian,2.68,1,paulstephenson@example.net,Inactive,66300
CH_000174,FAM_001979,Julia Hoffman DDS,Julia,DDS,F,2018-01-14,RaceC,White,3.0,0,dominic34@example.net,Active,55977
CH_000175,FAM_000090,Max White,Max,White,F,2017-02-08,RaceA,Asian,2.67,1,richardmccoy@example.net,Waitlisted,37433
CH_000176,FAM_000887,Christina Joyce,Christina,Joyce,Other,2023-04-15,RaceC,Asian,2.64,0,allison69@example.net,Active,37847
CH_000177,FAM_001546,Amber Kerr,Amber,Kerr,M,2021-05-09,RaceC,Non-Hispanic,4.3,0,taylor25@example.org,Inactive,20210
CH_000178,FAM_002258,Roy Bender,Roy,Bender,M,2022-01-16,RaceB,White,3.77,0,julie66@example.net,Active,30194
CH_000179,FAM_002289,Mark Miller,Mark,Miller,F,2020-08-17,RaceA,Black,2.11,0,josephdavis@example.org,Inactive,86558
CH_000180,FAM_000948,Erika Ross,Erika,Ross,Other,2021-06-14,RaceC,Asian,2.74,1,millerdiana@example.org,Active,61014
CH_000181,FAM_000013,Sandra Tucker,Sandra,Tucker,Other,2023-01-20,RaceA,Non-Hispanic,4.17,1,burtonsamantha@example.net,Waitlisted,34045
CH_000182,FAM_000116,Caroline Washington,Caroline,Washington,Other,2022-11-20,RaceB,Asian,4.98,0,ismith@example.org,Inactive,46745
CH_000183,FAM_001140,Anthony Harmon,Anthony,Harmon,Other,2022-09-05,RaceC,Non-Hispanic,3.78,1,walkeralison@example.org,Waitlisted,75267
CH_000184,FAM_002218,Barbara King,Barbara,King,M,2025-02-27,RaceC,Non-Hispanic,4.88,1,medinahannah@example.com,Active,69636
CH_000185,FAM_000901,David Gould,David,Gould,F,2017-08-19,RaceB,Hispanic,4.34,0,christopherwatson@example.org,Waitlisted,95821
CH_000186,FAM_001993,Abigail Wagner,Abigail,Wagner,M,2015-04-21,RaceA,Black,2.17,1,allisonkline@example.net,Active,99118
CH_000187,FAM_002798,Jessica Williams,Jessica,Williams,M,2017-04-17,RaceC,Non-Hispanic,3.31,1,lynn36@example.com,Inactive,80308
CH_000188,FAM_002472,Brian Conrad,Brian,Conrad,M,2023-12-04,RaceB,Non-Hispanic,4.19,1,adamdominguez@example.net,Waitlisted,98613
