family_id,family_name,parent_names,household_income,num_children,marital_status,address,geo_id,intake_date,Head_of_Household_Name,Household_Size,Family_Status,Preferred_Contact_Mode,Phone,Referral_Source,Income_Level,Parent_Education_Level,created_date
FAM_000035,Carter Family,Russell Anderson,69656.25,2,Single,37218 Gutierrez Locks,GEO_0166,2021-01-26,Rebekah Smith,5,Inactive,Text,(379)940-9907x3722,Agency,High,Masters,2020-07-28
FAM_000036,Williams Family,Christina Washington,106567.07,1,Married,541 Francisco Orchard Apt. 506,GEO_0108,2023-07-27,David Knox,5,Exited,Email,(348)703-6145x4402,Agency,Low,Masters,2016-08-08
FAM_000037,Gonzalez Family,Kenneth Huff,59216.58,6,Married,2670 Pace Crest Suite 377,GEO_0175,2019-03-06,Jennifer Harper,1,Active,Email,(550)758-4841x4922,Agency,Moderate,High School,2017-12-01
FAM_000038,Williams Family,Kelly Miles,15929.72,4,Married,366 Justin Ridge Apt. 529,GEO_0194,2016-12-19,Laura Bailey,3,Exited,Text,001-860-522-9351x174,Agency,Moderate,High School,2018-05-22
FAM_000039,Mahoney Family,Jacob Obrien,131805.2,3,Divorced,611 Christopher Street Apt. 286,GEO_0112,2017-07-16,Kimberly Robles,3,Active,Text,(793)380-5846x07043,Self,Low,Bachelors,2024-06-19
FAM_000040,Robertson Family,Timothy Clark,59358.3,6,Separated,20072 Dennis Ville Suite 591,GEO_0082,2022-08-15,James Miller,5,Exited,Text,859.531.7261x0845,Community Partner,High,High School,2018-10-25
FAM_000041,Hays Family,Steve Miller PhD,149741.08,2,Divorced,45109 Vanessa Ridges,GEO_0082,2024-08-01,Spencer Green,1,Exited,Phone,+1-914-779-6126x5088,Agency,Moderate,High School,2024-01-28
FAM_000042,Daniels Family,Justin Hurley,48437.75,3,Divorced,26714 Gilbert Pine,GEO_0051,2024-12-15,Kyle Campbell,4,Active,Email,285-837-9978x81668,Agency,High,High School,2019-02-23
FAM_000043,King Family,Jacob Erickson,147203.82,1,Married,421 Obrien Green,GEO_0051,2021-06-08,Donna Powers,6,Exited,Phone,911-998-8874x47321,Self,Moderate,High School,2017-05-09
FAM_000044,Mullins Family,Deborah Williams,142706.61,4,Separated,817 Hannah Bypass,GEO_0013,2018-11-15,Jennifer Jones,6,Active,Phone,554.657.4770x60855,Agency,Low,High School,2022-02-19
FAM_000045,Lee Family,Eric Blackburn,20505.76,6,Married,2775 Carter Squares Suite 634,GEO_0127,2022-10-04,Brenda Norris,5,Active,Email,+1-356-343-2754,Community Partner,High,High School,2020-11-09
FAM_000046,Kelly Family,Anne Hardy,99251.76,4,Separated,37220 Brian Wells Apt. 217,GEO_0128,2022-09-21,Miss Sierra Anderson,5,Exited,Phone,001-856-352-7701x5626,Self,Moderate,Masters,2018-06-01
FAM_000047,Norman Family,Chelsey Fox,60863.56,5,Separated,14559 Jennifer Mews,GEO_0012,2019-10-24,Gilbert Deleon,3,Active,Text,+1-705-627-9200,Community Partner,Low,Bachelors,2017-05-13
FAM_000048,Glenn Family,Mario White,122153.44,3,Married,89437 Michael Lock Apt. 510,GEO_0071,2023-12-06,Theresa Jackson,5,Active,Text,(531)964-6066x4932,Agency,High,Bachelors,2018-02-08
FAM_000049,Rivera Family,Jennifer Garcia,105117.49,5,Single,6277 Bowers Wall,GEO_0108,2016-03-13,Patrick White,8,Active,Email,758-638-8333x14932,Agency,Low,Masters,2021-12-15
FAM_000050,Martinez Family,Heather Ellis,143390.52,6,Divorced,2565 Adrian Tunnel Apt. 461,GEO_0031,2016-02-10,Sarah Gutierrez,8,Exited,Email,959.328.2066x65347,Self,Low,Masters,2024-08-23
FAM_000051,Richardson Family,Sonya Jackson,29989.13,4,Separated,2023 Krueger Flats Apt. 600,GEO_0032,2025-02-26,Lauren Orr,5,Active,Text,2905028100,Community Partner,Low,Bachelors,2024-12-02
FAM_000052,Preston Family,James Morgan,95060.21,2,Married,595 Smith Orchard Apt. 325,GEO_0116,2024-10-07,Laurie Reyes,3,Exited,Text,(866)661-7808,Self,Moderate,Masters,2023-10-27
FAM_000053,Paul Family,Zachary Ramos,119383.68,5,Divorced,689 Ryan Street Apt. 798,GEO_0044,2020-06-11,Jennifer Wright,3,Active,Phone,699-416-2776x5029,Community Partner,Low,High School,2016-09-29
FAM_000054,Kline Family,Ethan Frey,14871.86,2,Divorced,704 Smith Radial Apt. 767,GEO_0154,2019-09-06,Laura Robinson,3,Exited,Phone,(701)422-9153x537,Community Partner,Low,Masters,2022-10-10
FAM_000055,Hughes Family,Jacob Duran,19412.67,5,Married,9374 Snow Walk,GEO_0084,2025-03-19,Kevin Krause,5,Inactive,Phone,519.276.6162x4293,Community Partner,High,Bachelors,2021-05-18
FAM_000056,Beltran Family,Nicholas Franklin,118992.15,3,Single,94640 Billy View,GEO_0152,2019-03-08,Shawn Richmond,7,Active,Text,807-201-7744,Agency,Low,High School,2023-10-02
FAM_000057,Crawford Family,Cindy Cannon,61285.99,3,Single,60601 Nichols Plains Suite 084,GEO_0099,2016-08-24,Casey Weaver,5,Active,Email,+1-734-286-4917,Agency,Moderate,High School,2016-10-09
FAM_000058,Jimenez Family,Dawn Nixon,63599.62,6,Married,9388 Chan Walk,GEO_0061,2017-12-30,Jennifer Glover,4,Inactive,Phone,983.812.3315x349,Self,High,Bachelors,2018-12-14
FAM_000059,Glass Family,James Barber,89414.25,4,Single,8528 Alexis Meadow,GEO_0148,2020-12-13,David Dennis,1,Active,Phone,(317)641-0375,Community Partner,High,Masters,2020-04-18
FAM_000060,Stone Family,Ms. Kelly Holder,94713.28,3,Divorced,3701 Sarah Street,GEO_0006,2025-03-07,Mckenzie Tate,4,Exited,Email,464-586-6898,Self,High,High School,2020-05-30
FAM_000061,Owen Family,Eric Walker,105068.69,5,Married,44626 Jessica Lake Apt. 448,GEO_0073,2022-02-06,Jamie Schneider,5,Active,Email,+1-873-527-8602x849,Agency,Moderate,High School,2022-02-09
FAM_000062,Acosta Family,Alison Short,142835.29,5,Separated,21031 Sanford Crescent,GEO_0005,2023-12-09,Wayne Brown,3,Exited,Email,(755)401-2199x149,Self,Low,Bachelors,2018-06-05
FAM_000063,Miller Family,Desiree Spencer,62081.87,2,Married,1887 Timothy Ridges Suite 151,GEO_0165,2024-07-03,Gerald Strickland,1,Active,Text,235-795-3019x65497,Community Partner,Moderate,High School,2016-10-31
FAM_000064,Morrison Family,Tammy Moore,116831.83,1,Single,63840 Victoria Estates Apt. 528,GEO_0148,2017-08-24,Eric Long,5,Exited,Text,+1-444-259-9145x210,Community Partner,Moderate,High School,2025-10-17
FAM_000065,Short Family,Henry Taylor,90349.05,5,Divorced,5056 Garcia Passage,GEO_0002,2022-10-05,Joseph Robinson,6,Active,Text,+1-338-487-0713x6042,Community Partner,Low,Bachelors,2024-11-07
FAM_000066,Gardner Family,Kevin Hall,84124.38,2,Divorced,23979 Theresa Summit Apt. 787,GEO_0119,2022-03-25,Michael Smith,7,Exited,Text,700-446-8797,Community Partner,High,Bachelors,2017-12-26
FAM_000067,Morris Family,Anna Ross,65724.77,4,Separated,5300 Lopez Ports Suite 055,GEO_0073,2023-04-03,Timothy Martin,8,Active,Phone,400-784-8654,Self,Moderate,Bachelors,2020-11-24
FAM_000068,Miller Family,Morgan Cummings,100938.5,3,Married,057 Dennis Court Apt. 927,GEO_0034,2016-01-16,Dr. Glenn Bradford,3,Inactive,Email,+1-956-386-2229x05441,Community Partner,Low,High School,2024-08-27
FAM_000069,Guerrero Family,Carrie Petersen,44945.63,3,Single,851 Kristi Route Suite 348,GEO_0104,2024-09-15,Nathaniel Barrett,6,Active,Phone,8562739293,Community Partner,High,High School,2017-11-13
FAM_000070,Parker Family,Laura Velez,25882.81,5,Separated,0104 Heather Via Suite 245,GEO_0010,2024-11-19,Richard Merritt,3,Inactive,Text,706.348.7235x838,Community Partner,Moderate,Bachelors,2025-04-09
FAM_000071,Morrison Family,Elizabeth Cross,112994.48,3,Married,85174 Russell Burg Suite 521,GEO_0137,2016-09-05,Pedro Simmons,6,Active,Text,252.904.7700x483,Agency,Low,High School,2022-03-18
FAM_000072,Simmons Family,Angela Brown,79866.15,4,Single,991 Wilson Greens,GEO_0136,2020-05-18,Aaron Mills,6,Inactive,Phone,(527)432-5538x2743,Community Partner,High,Bachelors,2020-11-27
FAM_000073,Norris Family,Hannah Montoya,64178.23,1,Single,1293 Jesse Harbor Suite 881,GEO_0011,2017-01-15,Amanda Smith,7,Active,Email,001-562-425-0634x837,Agency,Low,Bachelors,2025-01-05
FAM_000074,Bell Family,Sean Kane,88634.18,6,Divorced,416 Larry Wells Suite 154,GEO_0087,2024-07-10,Jessica Stewart,8,Active,Email,201.546.4675,Community Partner,Low,Masters,2016-09-18
FAM_000075,Williams Family,Matthew Guzman,46648.73,5,Divorced,11901 Williams Valleys,GEO_0166,2016-07-08,Jill Byrd,3,Exited,Phone,209.354.1852x03971,Community Partner,Low,Masters,2022-02-06
FAM_000076,Berg Family,Richard Reyes,46440.57,4,Divorced,8142 Christopher Extension Apt. 910,GEO_0005,2018-01-31,Beverly Wood,8,Exited,Phone,001-504-643-3050x980,Agency,Low,Masters,2016-01-26
FAM_000077,Gomez Family,Andrew Fernandez,72478.24,6,Single,22836 Erin Wells Suite 937,GEO_0018,2020-08-29,Juan Campos,3,Active,Phone,6968008768,Agency,Low,High School,2016-09-04
FAM_000078,Bolton Family,Jonathan Walker,149491.12,2,Married,63963 Cooper Lodge,GEO_0121,2020-09-17,Robert King,8,Inactive,Text,(758)942-2527x768,Community Partner,Moderate,High School,2024-09-08
FAM_000079,Hill Family,Nicholas Long,49980.76,1,Married,443 Jasmine Glens Suite 016,GEO_0025,2022-09-19,Amanda Hopkins,7,Inactive,Phone,556-444-2927x75019,Community Partner,Low,High School,2021-08-06
FAM_000080,Whitney Family,Kurt Wagner,138307.05,5,Married,429 Lisa Prairie,GEO_0107,2019-01-06,Lori Smith,1,Inactive,Text,(826)274-9422x216,Agency,Moderate,Bachelors,2017-06-13
FAM_000081,Gould Family,Dylan Foster,78768.03,3,Separated,320 Whitney Summit,GEO_0186,2025-05-01,Kenneth Ross,2,Inactive,Text,+1-452-238-1498x714,Agency,High,Bachelors,2023-03-21
FAM_000082,Jones Family,Bradley Duncan,27169.24,5,Separated,162 Joshua Creek,GEO_0078,2024-11-02,Susan Francis,6,Exited,Text,001-535-877-7931x2404,Agency,High,High School,2024-06-02
FAM_000083,Walsh Family,James Miller,129395.68,2,Divorced,310 Rodriguez Ford,GEO_0071,2018-10-11,Travis Price,4,Exited,Phone,001-536-623-1755x337,Self,Low,High School,2022-03-25
FAM_000084,Cox Family,Patricia Anderson,73285.98,3,Divorced,21556 Keller Springs Suite 732,GEO_0082,2023-03-25,Kelly Duarte,5,Exited,Phone,776.630.6585x8276,Self,High,Masters,2016-02-19
FAM_000085,Owen Family,Justin Freeman,135815.06,6,Married,5337 Avery Mews,GEO_0193,2016-12-28,Joseph Davies,4,Inactive,Phone,+1-769-391-5897x3037,Self,Low,Masters,2021-04-16
FAM_000086,Shelton Family,Christina Gilbert,72315.57,1,Divorced,0672 Kimberly Village,GEO_0089,2023-10-29,Michael Leon,4,Inactive,Phone,242-998-3687x619,Agency,Low,High School,2018-03-26
FAM_000087,Cisneros Family,Danielle Jones,22290.7,6,Married,784 Robert Heights,GEO_0103,2019-05-15,Catherine Peters DVM,3,Exited,Email,305-861-1555x10749,Community Partner,High,High School,2025-08-10
FAM_000088,Thomas Family,Erica Glass,105470.1,5,Married,4260 Floyd Pines,GEO_0021,2020-05-03,Haley Walls,5,Active,Phone,001-996-411-5889x01718,Community Partner,High,High School,2020-01-13
FAM_000089,Lawson Family,Michael Henderson,128372.97,4,Separated,754 Shannon Spurs,GEO_0143,2022-04-19,Alan Mcclain,2,Exited,Phone,001-770-812-6831,Community Partner,High,High School,2021-07-13
FAM_000090,Harrington Family,Frank Wheeler,54742.29,2,Married,6427 Samuel Dale Apt. 376,GEO_0199,2016-06-15,Ashley Williams,4,Active,Phone,(842)906-0511,Agency,Moderate,Bachelors,2020-03-20
FAM_000091,Johnson Family,Eric Huerta,58639.54,5,Divorced,821 Griffith Pike,GEO_0081,2025-02-24,Joseph Crawford,6,Active,Email,(990)354-3526x82194,Community Partner,Moderate,High School,2017-12-31
FAM_000092,Jones Family,Wanda Ramos,19091.47,6,Married,148 Francis Brooks Apt. 913,GEO_0127,2023-08-29,Alexander Howard,8,Inactive,Email,001-502-432-7107,Agency,Low,High School,2016-04-03
FAM_000093,Osborne Family,Andrew Meyers,85903.99,4,Divorced,3899 Courtney Pines Apt. 205,GEO_0157,2019-07-30,Pamela Solis,8,Inactive,Phone,275-792-1230x34899,Agency,High,Bachelors,2023-08-02
FAM_000094,Diaz Family,James Todd,134786.44,5,Married,507 Jacob Street Suite 644,GEO_0013,2023-04-05,Cynthia Davies,1,Active,Phone,(843)917-2104x63118,Agency,Moderate,High School,2019-09-06
FAM_000095,Reyes Family,Ashley Brown,129190.69,2,Single,699 Davis Mountains,GEO_0101,2019-04-22,Andrea Obrien,4,Exited,Phone,7196878350,Self,Low,Masters,2023-06-23
FAM_000096,Bradley Family,Tammy Melton,109653.27,5,Separated,50557 Amanda Park,GEO_0077,2017-03-16,William Manning,4,Exited,Phone,259-931-8131x2547,Agency,Low,High School,2018-06-04
FAM_000097,Jacobs Family,Alexis Benson,139825.42,3,Separated,8011 Jesse Way,GEO_0179,2020-05-01,Paul Romero,6,Active,Phone,941.835.0540,Community Partner,Moderate,High School,2016-10-13
FAM_000098,Shelton Family,Jerry Johnson,99278.0,3,Married,76811 Higgins Forges,GEO_0117,2025-06-21,Jon Meyer,1,Inactive,Phone,571-386-2943x681,Agency,Moderate,Masters,2024-11-12
FAM_000099,Rush Family,Joshua Harris,121117.49,4,Divorced,51040 Martinez Harbors,GEO_0127,2019-03-13,John Escobar,7,Inactive,Phone,753-694-8072x0784,Community Partner,Low,High School,2024-07-19
FAM_000100,Watson Family,Deanna Webb,81225.8,6,Married,15391 Linda Turnpike Apt. 074,GEO_0165,2017-06-21,Stephen Johnson,2,Inactive,Text,284-802-2277x60218,Self,Moderate,High School,2018-01-15
FAM_000101,Hines Family,Brenda Hale,26990.74,3,Separated,073 Clay Courts,GEO_0032,2024-08-29,Elizabeth Fox,6,Inactive,Email,001-267-825-2793x44451,Agency,Moderate,Bachelors,2018-12-20
FAM_000102,Berry Family,Kevin Alvarado,38137.25,1,Divorced,939 Smith Square,GEO_0096,2017-04-30,Robert Larson,2,Active,Text,674.521.0830x634,Community Partner,Low,Bachelors,2021-12-06
FAM_000103,Moreno Family,Christopher Campbell,29442.76,1,Single,7820 Tina Ports Apt. 432,GEO_0159,2019-02-09,Amy Dawson,5,Inactive,Phone,001-971-508-4257x5423,Self,High,High School,2023-06-26
FAM_000104,Sanders Family,Lisa Brown,120652.23,5,Single,02333 Kenneth Circle,GEO_0027,2023-07-23,Jordan West,2,Active,Phone,434-797-2486x89832,Agency,Moderate,Masters,2020-05-23
FAM_000105,Banks Family,Alejandra Price,13679.76,6,Divorced,92013 Burton Trace Suite 621,GEO_0008,2018-02-24,Felicia Johnson,1,Inactive,Phone,001-635-902-2774x69033,Agency,Moderate,High School,2022-07-02
FAM_000106,Wright Family,Samuel Keller,87563.0,1,Married,6025 Amanda Spur,GEO_0058,2018-06-16,Wesley Flores,8,Inactive,Email,437-405-8775,Agency,Low,High School,2021-03-17
FAM_000107,Wilson Family,Alicia Dillon,61647.56,1,Separated,12312 Rodriguez Forks Apt. 488,GEO_0013,2019-04-21,Sarah Chen,4,Active,Email,(612)400-4023,Self,Low,Masters,2020-08-06
FAM_000108,Fitzgerald Family,Crystal James,122512.64,2,Divorced,2989 Stephanie Manors Apt. 974,GEO_0003,2024-09-21,Michelle Pearson,4,Active,Text,5337873845,Community Partner,Low,Masters,2020-03-07
FAM_000109,Porter Family,Ariana Stewart,87230.57,2,Married,9303 Phillips Trail Suite 191,GEO_0036,2015-12-29,Jesse Robinson,5,Active,Text,8028156383,Agency,Moderate,Masters,2024-10-20
FAM_000110,Hughes Family,Kim Lopez,95672.77,1,Divorced,38187 Blankenship Prairie,GEO_0027,2021-01-27,Derrick Stanton,3,Exited,Email,(994)736-5869x49199,Self,Moderate,High School,2016-07-19
FAM_000111,Hoffman Family,Judith House,22070.17,2,Divorced,82832 Rebecca Pass,GEO_0083,2021-08-25,Bradley Kelly,4,Inactive,Phone,001-913-544-5532x967,Agency,High,High School,2023-03-16
FAM_000112,Green Family,David Moreno,53300.7,1,Separated,88158 Jordan Isle,GEO_0177,2015-12-28,Sandra Navarro,4,Exited,Email,859.842.8318x8861,Self,Low,High School,2019-04-01
FAM_000113,Green Family,James Moore,149943.31,4,Single,06732 Holly Corners,GEO_0186,2019-10-11,Eugene Perry,8,Inactive,Email,(833)442-8091x1541,Agency,Low,High School,2020-05-09
FAM_000114,Griffin Family,Harold Garrett,110641.75,2,Single,716 Joan Islands,GEO_0112,2015-12-07,Donald Ibarra,3,Active,Phone,797-670-5491x1406,Community Partner,High,Bachelors,2020-11-27
FAM_000115,Davies Family,William Mason,83597.39,1,Single,45000 Kimberly Spurs Apt. 015,GEO_0058,2024-10-20,Melissa Yu,1,Inactive,Phone,765.312.6749x0753,Agency,Low,Masters,2022-08-05
FAM_000116,Mitchell Family,Lori Johns,117683.04,1,Single,911 Timothy Valley,GEO_0044,2019-10-15,David Turner,5,Active,Phone,583.645.6293,Community Partner,High,Bachelors,2024-08-06
FAM_000117,Hendricks Family,Robin Johnson,125267.52,5,Separated,8509 Jennifer Knoll,GEO_0023,2020-08-04,Jeremy Martin,5,Inactive,Phone,+1-995-865-1582x23094,Community Partner,Low,High School,2016-07-23
FAM_000118,Henry Family,Diana Hernandez,20325.1,6,Married,1844 Moore Plains Apt. 998,GEO_0049,2025-07-14,Isaiah Simpson,2,Active,Email,4596676561,Agency,Low,High School,2018-08-26
FAM_000119,Martinez Family,Mary Miller,146133.16,4,Divorced,7812 Madison Heights Apt. 567,GEO_0186,2017-10-12,Phillip Jones,4,Inactive,Text,001-983-834-4146,Self,High,Masters,2019-12-06
FAM_000120,Farrell Family,Tyler Salazar,99927.4,6,Separated,670 Carol Alley,GEO_0095,2017-04-02,Jeanne Miller,2,Inactive,Email,001-638-592-5291,Community Partner,Low,High School,2020-10-28
FAM_000121,Hayes Family,Crystal Allen,72996.43,4,Single,65515 Moreno Lodge Suite 913,GEO_0138,2022-09-17,Pamela Larson,3,Active,Phone,935.629.0831x1686,Community Partner,High,High School,2016-04-20
FAM_000122,Roach Family,Wesley Browning,105215.26,5,Single,48355 Michael View Apt. 960,GEO_0002,2020-09-29,Steven Brown,5,Inactive,Phone,378-368-7320x718,Agency,Low,High School,2024-03-10
FAM_000123,Wallace Family,Joshua Clark,58232.07,5,Separated,706 John Rapids,GEO_0177,2024-03-19,Leah Murphy,1,Active,Text,(294)341-8269x7187,Self,Low,Masters,2016-04-06
FAM_000124,Miller Family,Joshua Mcbride,132914.42,6,Divorced,509 David Circle Suite 016,GEO_0014,2022-11-22,Rachel Stein,4,Inactive,Phone,639-787-4054x19199,Community Partner,Moderate,High School,2018-12-12
FAM_000125,Fleming Family,Ellen Thornton,119236.81,5,Separated,188 Jose Street Suite 287,GEO_0067,2020-03-19,Tammy Pena,4,Exited,Email,+1-611-774-2614x22740,Agency,Low,Bachelors,2022-11-14
FAM_000126,Bruce Family,Brandy Forbes,99571.15,3,Divorced,83638 Ricardo Gardens Apt. 126,GEO_0012,2025-10-02,Cameron Meyer,4,Active,Email,222-385-8937,Community Partner,High,High School,2023-05-01
FAM_000127,Flores Family,Brianna Fitzpatrick,35474.84,1,Separated,289 Russell Estate Apt. 362,GEO_0029,2019-01-09,Tracey Wells,8,Exited,Phone,3352743189,Community Partner,High,Masters,2018-03-03
FAM_000128,Reed Family,Emily Grant,145277.05,3,Married,863 Kyle Tunnel Suite 170,GEO_0013,2023-12-30,Gary Smith,8,Inactive,Text,7496246012,Community Partner,Low,Bachelors,2023-03-07
FAM_000129,Brown Family,Bailey Stewart,70566.56,2,Single,6255 Cline Canyon Apt. 635,GEO_0078,2019-03-28,Todd Ruiz,2,Inactive,Phone,+1-899-872-6315x08108,Agency,Low,High School,2016-07-31
