eligibility_id,application_id,decision_date,eligibility_status,reason,review_officer,Assessment_Period,Evaluation_Agency,Rating_Level,Comments,Improvement_Plan_Flag,Next_Assessment_Date,Created_Date
ELG_000113,APP_004540,2025-03-23,Eligible,Not life seven.,Michael Tate,Q3,Fernandez Inc,Poor,Concern who yeah maintain she act itself.,0,2026-01-14,2023-07-22
ELG_000114,APP_003423,2021-10-29,Pending,Fly message seek nation.,Kevin Chase,Q1,Ponce LLC,Good,Bring management environmental home option authority another official.,1,2025-11-26,2017-08-18
ELG_000115,APP_000113,2019-09-15,Eligible,Challenge anything purpose.,Nicholas Barnes,Q1,"Rodriguez, Brown and Diaz",Good,Want popular fly kid program cultural move area surface part brother hope.,0,2027-08-14,2019-05-16
ELG_000116,APP_004478,2019-10-25,Pending,Either east response whole start capital.,Latoya Huerta,FY,Barnes-Giles,Fair,Development heart bar citizen improve market all office rate site media inside thousand western.,0,2026-02-12,2017-06-09
ELG_000117,APP_000692,2019-12-18,Eligible,Moment by standard military air manager remember.,Larry Nguyen,Q3,"Ferguson, Rodriguez and Johnson",Poor,Growth foreign meet with cup democratic simply assume only.,1,2027-01-05,2019-05-15
ELG_000118,APP_001491,2025-05-24,Not Eligible,Identify commercial course live read address.,Hannah Bond,FY,Harris-Matthews,Poor,Trial candidate source day sell character loss owner section morning grow market since.,0,2027-05-19,2018-06-01
ELG_000119,APP_001052,2019-05-02,Not Eligible,You just than idea job unit community.,Shannon Garcia,Q4,Barker and Sons,Poor,Medical country hour recent cold each produce full song nearly yourself man discuss.,1,2026-10-02,2025-07-20
ELG_000120,APP_002415,2021-10-30,Not Eligible,Position difficult commercial ok yard fire score billion.,Victor Rodriguez,Q4,Matthews and Sons,Poor,Where concern else night bill word exactly recent.,1,2026-10-03,2022-02-13
ELG_000121,APP_003998,2021-05-05,Not Eligible,Together my century management site.,Brian Hernandez,Q4,"Thomas, Knight and Mason",Excellent,Computer everything different charge offer fast game.,1,2027-01-31,2023-06-27
ELG_000122,APP_004472,2018-09-10,Not Eligible,Yard son thought raise.,Kyle Flowers,Q1,"Arnold, Green and Moore",Fair,Movement window indeed option cause seem beautiful safe.,1,2026-07-05,2016-06-29
ELG_000123,APP_003597,2016-10-15,Not Eligible,Hair employee article road require size decision.,Randy Wright,Q1,"Chavez, Yang and Rose",Good,Ago thousand ok various else without nothing happy.,1,2027-07-18,2017-06-15
ELG_000124,APP_004490,2018-12-16,Not Eligible,Go beat response here.,Rebecca Pollard,Q3,"Stewart, King and Estrada",Poor,Executive red Democrat adult will month become agency one.,1,2027-01-20,2023-01-01
ELG_000125,APP_000294,2018-04-10,Pending,Total majority item ever beautiful material enter.,Jason Mayer,Q3,"Obrien, Diaz and Williams",Fair,Coach act nation interesting song federal herself keep one happy process.,0,2027-03-08,2017-05-28
ELG_000126,APP_004998,2019-04-15,Not Eligible,Cultural capital run explain whose.,Richard Solis,FY,Caldwell-Robinson,Poor,Yourself market family position produce chair article letter many collection large.,0,2026-04-08,2021-05-16
ELG_000127,APP_000089,2017-07-20,Not Eligible,Parent two wait imagine that.,Wayne Sawyer,Q3,Avery and Sons,Good,None offer two avoid power recent sense that learn charge light city personal.,0,2027-07-27,2018-07-27
ELG_000128,APP_001199,2024-07-16,Pending,Choose rest continue business deep.,Rachel Pace,Q2,Kirby-Scott,Poor,Style process animal mind act evening that law Mrs value shoulder produce.,0,2027-01-11,2019-07-23
ELG_000129,APP_004084,2024-10-08,Not Eligible,Tax above yes value policy.,Michael Gilbert,Q4,"Cooley, Hickman and Moran",Good,Space role not fly go sea low determine full discover maintain price paper.,1,2027-01-07,2016-11-01
ELG_000130,APP_002554,2016-07-29,Eligible,High raise fall maintain cover.,Jerry Pierce,Q2,Brown LLC,Good,Newspaper different add TV both gun you force job center.,0,2027-01-23,2018-02-20
ELG_000131,APP_000663,2023-10-06,Eligible,Necessary will moment traditional above bring under.,Samantha Oconnor,Q2,Collins-Lee,Excellent,Director society technology knowledge main window person live personal.,1,2026-05-15,2020-03-13
ELG_000132,APP_001747,2018-01-28,Not Eligible,Owner fund until right key.,Charles Rogers,FY,"Hernandez, Sanchez and Patrick",Fair,Assume work structure maybe pass learn benefit candidate skill decision away growth behind.,1,2027-07-24,2024-11-06
ELG_000133,APP_002971,2021-03-04,Not Eligible,Necessary child TV during often local.,Kevin Garrison,Q4,"Murphy, Douglas and Andrews",Good,Yeah anyone loss together them ask sit probably.,0,2027-07-11,2024-09-15
ELG_000134,APP_003506,2020-11-26,Eligible,Organization trip from enough first beyond glass him.,Nicholas Castillo,Q1,Meza Ltd,Poor,They hospital you fight team born our.,1,2027-11-10,2020-08-09
ELG_000135,APP_004087,2019-09-29,Eligible,Full evening better investment city everyone story address.,Michelle Simon,Q4,"Patel, Clark and Ortiz",Fair,Society difficult than attention inside business itself black population night father stop discover.,0,2026-05-29,2020-05-24
ELG_000136,APP_003549,2022-07-22,Eligible,Civil talk picture tax.,Jesse Brandt,Q3,"Coffey, Foster and Bean",Poor,Full indicate politics management now life also.,1,2025-12-06,2020-09-03
ELG_000137,APP_001864,2017-04-23,Pending,Mr trouble first.,Anna Lutz,FY,"Henson, Stanley and Moran",Excellent,Development peace day PM firm table practice fund.,1,2027-02-03,2022-10-15
ELG_000138,APP_004748,2020-01-25,Eligible,Return over discover study explain.,Brandy Phillips,Q1,Miller LLC,Good,Hot understand site should activity major suggest.,0,2026-11-13,2019-04-12
ELG_000139,APP_004858,2019-05-31,Eligible,Economic ok trade compare admit middle serious.,Keith Newman,Q1,Roberts-Owens,Excellent,Place blue shoulder note common scientist knowledge specific number final animal message control.,0,2026-12-26,2021-08-16
