employee_id,emp_name,emp_role,department,hire_date,contact_email,supervisor_name,Job_Search_Service_Used,Renewal_Flag,Industry
EMP_000017,Richard Chung,Manager,Operations,2024-10-24,nicholas28@example.com,Angela Kelly,None,0,Retail
EMP_000018,Vanessa Harvey,Trainer,Finance,2024-12-17,kristi56@example.com,Steve Burton,Workforce Center,1,Technology
EMP_000019,Kimberly Carter,Administrator,Education,2022-03-14,floresjennifer@example.org,Nicholas Gomez,Workforce Center,1,Education
EMP_000020,Martin Rodriguez,Manager,Health,2020-10-07,briansmith@example.org,Cynthia Gillespie,Online Portal,0,Education
EMP_000021,Andrew Thompson,Mentor,Education,2024-04-03,ashleycoffey@example.net,Donald Castillo,Workforce Center,0,Technology
EMP_000022,Christopher Kirk DDS,Case Worker,Education,2020-05-24,arose@example.com,Julie Murphy,None,0,Retail
EMP_000023,Debra Sellers,Administrator,Health,2025-03-06,christophermcneil@example.net,Diana Oneal,Online Portal,0,Healthcare
EMP_000024,Cheryl Medina,Manager,Education,2022-04-10,tjohnson@example.com,Michael Hill,Workforce Center,0,Technology
EMP_000025,Travis White,Administrator,Operations,2022-12-25,wware@example.com,William Bryant,Workforce Center,1,Healthcare
EMP_000026,Debbie Walker,Administrator,Health,2019-06-18,kjohnson@example.net,Lori Singh,Online Portal,1,Healthcare
EMP_000027,Michael Gould,Manager,Finance,2017-04-21,michelle69@example.com,Michael Morgan,Online Portal,0,Retail
EMP_000028,Keith Taylor,Manager,Operations,2023-02-06,sheltonjessica@example.net,Carmen Nicholson,None,0,Education
EMP_000029,Shannon Clark MD,Administrator,Operations,2016-06-13,melissathompson@example.org,Thomas Thomas,Workforce Center,0,Education
EMP_000030,Douglas Miller,Administrator,Education,2018-12-21,aaronthompson@example.com,Lisa Oconnor,None,1,Education
EMP_000031,Eric Caldwell,Trainer,Operations,2016-05-29,montgomerykrista@example.org,Jordan Livingston,Online Portal,1,Education
EMP_000032,Kenneth Wilson,Trainer,Health,2019-06-20,robert30@example.com,Marissa Alexander,Online Portal,0,Education
EMP_000033,Catherine Scott,Case Worker,Education,2017-03-28,martinlance@example.org,Bradley Hanson,None,0,Technology
EMP_000034,Christopher Thomas,Case Worker,Education,2017-08-21,qweaver@example.com,Lauren Turner,Online Portal,1,Retail
EMP_000035,Marcus Reed,Administrator,Operations,2020-06-12,april07@example.net,Jessica Kim,None,0,Technology
EMP_000036,Kelly Gonzalez,Administrator,Education,2021-06-07,thompsondillon@example.com,David Wolf,Workforce Center,1,Technology
EMP_000037,Robert Gutierrez,Case Worker,Finance,2018-05-23,markrogers@example.net,Jonathan Nixon,Workforce Center,0,Education
EMP_000038,Eric Davis,Trainer,Education,2017-10-11,donaldsonjason@example.org,Sarah Benson DDS,Online Portal,1,Healthcare
EMP_000039,Katherine Lewis,Trainer,Finance,2024-07-29,lindseyjenkins@example.net,Anthony Powers,None,1,Education
EMP_000040,Michael Oliver,Trainer,Education,2019-12-23,evelazquez@example.net,Melanie Wall,Workforce Center,1,Education
EMP_000041,Caitlin Moreno,Manager,Education,2025-07-12,davidmata@example.com,Neil Burgess,Online Portal,0,Retail
EMP_000042,Aaron Rios II,Case Worker,Education,2025-09-13,vanceemily@example.org,Karen Evans,None,1,Education
EMP_000043,Taylor Cordova,Case Worker,Health,2018-03-02,phyllis78@example.com,Betty Young,None,0,Healthcare
EMP_000044,Juan Wilson,Administrator,Finance,2019-11-24,jamesparker@example.net,Brian Russell,Workforce Center,0,Healthcare
EMP_000045,Christopher Morris,Mentor,Operations,2023-01-04,morrislisa@example.org,Robert Smith,Workforce Center,0,Education
EMP_000046,Brenda Buck,Case Worker,Operations,2023-10-23,ashleyrichardson@example.org,Kerry Richards,Workforce Center,0,Technology
EMP_000047,Walter French,Case Worker,Education,2023-02-27,robertfox@example.com,Eric Smith,None,1,Technology
EMP_000048,Ashley Cunningham,Mentor,Finance,2017-07-01,allenbrooke@example.com,Lonnie Norris,None,1,Technology
EMP_000049,Cindy Mata,Manager,Finance,2017-02-11,hensonstephen@example.net,Michelle Carlson DVM,Online Portal,1,Education
EMP_000050,Heather Cline,Manager,Finance,2021-07-11,joshua71@example.net,Alicia Ramirez,None,0,Education
EMP_000051,Crystal Erickson,Trainer,Operations,2022-02-10,amber42@example.net,Shannon Mora,Workforce Center,1,Retail
EMP_000052,Trevor Thomas,Manager,Education,2023-01-24,martinderrick@example.com,Ashley Wade,None,0,Technology
EMP_000053,Leonard Robbins,Administrator,Education,2025-02-02,warrenjessica@example.org,Susan Mckee,Workforce Center,0,Healthcare
EMP_000054,Gina Webb,Case Worker,Operations,2024-05-16,ninafinley@example.org,Brooke Jones,Workforce Center,1,Healthcare
EMP_000055,Gregory Sparks,Trainer,Health,2018-07-05,ambermunoz@example.com,Jason Fitzgerald,None,1,Education
EMP_000056,Jerry Evans,Administrator,Operations,2018-03-08,sdavis@example.net,Douglas Contreras,Workforce Center,0,Healthcare
EMP_000057,Kristin Hernandez,Manager,Operations,2019-04-24,laura66@example.com,Suzanne Thomas,Workforce Center,0,Retail
EMP_000058,Vickie Allen,Manager,Operations,2020-07-17,jacquelinelopez@example.com,Lisa Hines,Online Portal,0,Retail
EMP_000059,Jessica Walker,Administrator,Operations,2020-12-24,smithstacey@example.com,Johnathan Jones,None,1,Technology
EMP_000060,Andrew Ellis,Administrator,Education,2018-02-07,tyrone36@example.com,Ronald Lewis,None,0,Healthcare
EMP_000061,Matthew Carter,Trainer,Operations,2024-05-01,taralyons@example.net,Lisa Cowan,None,0,Retail
EMP_000062,Heather Johnson,Trainer,Education,2021-02-09,jill76@example.net,William Murphy,None,0,Retail
EMP_000063,Dana White,Administrator,Finance,2020-03-17,cookcynthia@example.org,Michael Simon,Online Portal,0,Education
EMP_000064,Jimmy Duncan,Case Worker,Finance,2018-12-19,dustingarrison@example.net,John Hall,None,0,Education
EMP_000065,Luis Walker,Trainer,Operations,2024-11-07,berrydebra@example.net,Richard Cabrera,None,0,Retail
EMP_000066,Denise Martin,Case Worker,Health,2022-05-01,pberry@example.com,Bradley Davis,Online Portal,1,Education
EMP_000067,David Ryan,Case Worker,Health,2017-09-15,andersonisabella@example.net,Danielle Meadows,None,1,Technology
EMP_000068,Veronica Barton,Case Worker,Operations,2024-06-24,nlong@example.org,John Butler,Online Portal,0,Healthcare
EMP_000069,Kyle Park,Trainer,Operations,2022-07-18,frankterri@example.org,Katrina Harrison,Online Portal,0,Retail
EMP_000070,Jennifer Bailey,Case Worker,Finance,2017-09-19,stacy64@example.org,Maria Mcintosh,Workforce Center,1,Technology
EMP_000071,Elizabeth Washington,Administrator,Finance,2018-09-01,qweaver@example.net,Francis Price,Workforce Center,0,Technology
EMP_000072,Alison Smith,Manager,Operations,2021-07-09,jordanmark@example.net,Wayne Holland,Online Portal,0,Retail
EMP_000073,Randy Johnson,Administrator,Education,2020-02-06,rwolfe@example.org,Eric Flores,Workforce Center,1,Education
EMP_000074,Stephen Sanders,Case Worker,Education,2024-08-05,beverly05@example.com,Wendy Robertson,Workforce Center,0,Education
EMP_000075,Patricia Costa,Case Worker,Health,2017-06-15,denise04@example.net,Corey Rasmussen,Workforce Center,0,Education
EMP_000076,Alexis Lopez,Mentor,Operations,2019-12-21,patrickbowen@example.com,Denise Washington,Workforce Center,1,Healthcare
EMP_000077,Karen Myers,Manager,Health,2021-07-04,kinglauren@example.com,Dr. Juan Gomez,Online Portal,0,Healthcare
EMP_000078,Kristin Skinner,Mentor,Finance,2017-06-10,ivalentine@example.net,Cassandra Khan,None,0,Retail
EMP_000079,Cathy Ruiz,Trainer,Operations,2016-09-05,keith20@example.net,Brian Barnes,Online Portal,1,Retail
EMP_000080,Amanda Combs,Manager,Operations,2025-08-20,mfowler@example.net,Gerald Ali,Workforce Center,1,Education
EMP_000081,Shannon Davis,Trainer,Finance,2016-12-24,michaelwilliams@example.org,Joseph Brown,Workforce Center,1,Education
EMP_000082,Sabrina Chaney,Manager,Health,2018-05-16,andreahowe@example.net,Monica Nguyen,Workforce Center,1,Retail
EMP_000083,David Kim,Mentor,Health,2025-10-26,lynnjohnson@example.org,Charles Wood,None,1,Technology
EMP_000084,Shannon Edwards,Case Worker,Finance,2021-08-23,floreslinda@example.org,James James,Workforce Center,0,Healthcare
EMP_000085,Leslie Middleton,Trainer,Health,2016-11-02,bennettjohn@example.com,Natalie Berg,Online Portal,0,Retail
EMP_000086,Emily Yu,Case Worker,Finance,2018-08-27,kbenson@example.com,Dale Owens,Online Portal,1,Education
EMP_000087,Emily Fitzgerald,Manager,Education,2021-01-10,jamiemacias@example.com,John Williams,Online Portal,1,Retail
EMP_000088,Albert Berry,Trainer,Health,2018-08-07,ianrobbins@example.net,Dwayne Moore,Workforce Center,1,Education
EMP_000089,David Williams,Manager,Finance,2019-06-11,jessicamoore@example.net,Alexander Reynolds,None,0,Retail
EMP_000090,Alicia Williams,Case Worker,Operations,2017-01-20,santosmonique@example.org,Dana Johnson,Online Portal,0,Retail
EMP_000091,Mark Morris,Mentor,Education,2016-02-02,sarah97@example.com,Ashley Davis,Workforce Center,0,Education
EMP_000092,Elizabeth Martinez,Trainer,Health,2016-03-17,ogibson@example.org,Vanessa Turner,Workforce Center,1,Education
EMP_000093,Jessica Jones,Administrator,Finance,2024-01-21,johnrobbins@example.com,Joseph Paul,Online Portal,0,Technology
EMP_000094,Christopher Jenkins,Manager,Health,2023-08-04,xjordan@example.com,John Smith,Workforce Center,1,Technology
EMP_000095,Linda Schneider,Mentor,Operations,2017-01-02,yolson@example.org,Christopher Black,Workforce Center,0,Education
EMP_000096,Richard Torres,Case Worker,Finance,2023-04-29,jennifer92@example.org,Richard Simon,Workforce Center,1,Education
EMP_000097,Cheryl Johnson,Case Worker,Operations,2022-05-24,taraperry@example.org,Jennifer Rosario,Workforce Center,1,Healthcare
EMP_000098,Jenny Payne,Case Worker,Finance,2021-02-27,jeffreyferguson@example.org,Alexander Oliver,Online Portal,0,Healthcare
EMP_000099,Thomas Johnson,Manager,Health,2020-05-07,jonesjoe@example.org,Ashley Johnson,Workforce Center,0,Retail
EMP_000100,Vanessa Walton,Manager,Health,2024-03-10,srobinson@example.org,Victoria Norris,None,0,Healthcare
EMP_000101,Cheryl Weiss,Case Worker,Operations,2018-01-15,amy31@example.com,Krystal Navarro,None,1,Education
EMP_000102,Jeremy Olson,Mentor,Education,2021-07-31,bradyscott@example.com,Taylor Burnett,Online Portal,0,Education
EMP_000103,Lauren Fox,Mentor,Operations,2023-07-11,ann38@example.org,Todd Patel,Workforce Center,0,Education
EMP_000104,Daniel Mcdaniel,Administrator,Health,2018-09-05,huntcheryl@example.com,Sara Alexander,None,0,Education
EMP_000105,Kelly Rodriguez DDS,Manager,Operations,2019-04-27,james55@example.com,Eric Ferguson,Online Portal,0,Retail
EMP_000106,Philip Thomas,Manager,Operations,2020-12-30,ellisonangela@example.org,Paul Michael,Workforce Center,1,Education
EMP_000107,John Ibarra,Administrator,Operations,2021-01-02,kelly04@example.org,John Rogers,None,0,Technology
EMP_000108,Christine Ayala,Trainer,Education,2021-09-09,vickie53@example.com,Derrick Cooke,None,1,Retail
EMP_000109,Brandon Carter,Case Worker,Operations,2023-02-15,anthonyscott@example.org,Angela Strong,Workforce Center,0,Retail
EMP_000110,Michael Jackson,Administrator,Health,2017-03-27,raymond27@example.com,Tina Gillespie,Online Portal,1,Education
EMP_000111,Kelly Walters,Case Worker,Operations,2020-01-02,joseph06@example.com,Karen White,None,1,Technology
EMP_000112,Michelle Patel,Administrator,Education,2023-12-07,nicole68@example.com,Randall Anderson,Workforce Center,0,Retail
EMP_000113,Teresa Hall,Case Worker,Education,2017-06-17,katrinathompson@example.org,Henry Gonzalez,Online Portal,0,Education
EMP_000114,Veronica Nelson DDS,Mentor,Operations,2021-10-03,xchristensen@example.net,Angel Smith,Online Portal,0,Retail
EMP_000115,Paul Graham,Mentor,Health,2025-02-25,danielperez@example.com,Adam Maddox,Online Portal,0,Retail
EMP_000116,Laura Scott,Trainer,Finance,2020-02-03,vazquezdanielle@example.com,Mary Adams,Workforce Center,1,Education
EMP_000117,Heather Ford,Manager,Finance,2016-04-21,novakjonathan@example.com,Richard Hanna,None,1,Retail
EMP_000118,Jose Rice,Manager,Education,2024-05-08,mlewis@example.com,Rebecca Davis,Workforce Center,0,Retail
EMP_000119,Kimberly Cooper,Manager,Health,2024-09-22,meghan46@example.org,Tanya Perkins,Online Portal,1,Technology
EMP_000120,Jonathan Garcia,Manager,Operations,2025-08-07,pamelataylor@example.org,Steven Kirk,Workforce Center,0,Healthcare
EMP_000121,Brenda Li,Administrator,Education,2016-07-24,parkerdustin@example.org,Cassidy Scott,None,1,Retail
EMP_000122,Rebecca Kaufman,Case Worker,Education,2023-06-21,elizabethhardin@example.com,Lynn Elliott,None,1,Healthcare
EMP_000123,Christopher Kim DDS,Manager,Finance,2016-01-29,amanda76@example.net,Alexis Davis,None,1,Education
EMP_000124,Jessica Hicks,Trainer,Health,2024-11-27,michaelmcclain@example.com,Kelly Graves,Online Portal,1,Technology
EMP_000125,Carol Werner,Case Worker,Finance,2018-03-23,etaylor@example.com,Francisco Cox,Online Portal,0,Education
EMP_000126,Angel Wallace,Trainer,Finance,2025-06-06,crawfordleslie@example.net,Edward Shaffer,Online Portal,0,Healthcare
EMP_000127,Raymond Jones,Mentor,Finance,2020-07-08,nathan83@example.com,Adriana Martinez,Online Portal,1,Technology
EMP_000128,Jose Allen,Case Worker,Operations,2018-12-03,pricewanda@example.org,Angela Griffith,None,1,Education
EMP_000129,Stephanie Woods,Trainer,Health,2022-08-19,michellekirk@example.org,Daniel Chang,None,1,Healthcare
EMP_000130,Kenneth Thomas,Case Worker,Operations,2017-01-30,ijones@example.org,Bridget Garcia,None,1,Healthcare
EMP_000131,Justin Quinn,Administrator,Health,2022-11-12,shawn14@example.org,Cassandra Reed,Workforce Center,0,Education
EMP_000132,Marc Edwards,Case Worker,Operations,2018-11-07,casey41@example.com,Elizabeth Brown,Online Portal,0,Technology
EMP_000133,Jillian Dennis,Case Worker,Operations,2016-08-06,davispatrick@example.com,Amy Wilkins,Workforce Center,1,Retail
EMP_000134,Isaac Gray,Case Worker,Finance,2025-09-13,jennifer90@example.org,Laura Roy,None,0,Retail
EMP_000135,Jennifer Roman,Mentor,Health,2024-08-20,jennifervaldez@example.net,Jack Rivera,None,0,Healthcare
EMP_000136,Amanda Mills,Trainer,Education,2023-05-30,robertlee@example.org,Nicolas Gates,Online Portal,0,Technology
EMP_000137,Mallory Hinton,Mentor,Operations,2022-10-01,nlynch@example.org,Kelly Arias,None,1,Technology
EMP_000138,David Frazier,Mentor,Health,2023-12-28,vrosario@example.org,Sabrina Warren,Online Portal,1,Retail
EMP_000139,Jacqueline Espinoza,Trainer,Finance,2021-07-28,zlee@example.net,Jonathan Hernandez,Online Portal,1,Retail
EMP_000140,Elizabeth Combs,Case Worker,Finance,2022-11-08,rarroyo@example.net,Cindy Wang,Online Portal,0,Healthcare
EMP_000141,Lauren Armstrong,Trainer,Operations,2017-08-20,jeffrey96@example.com,Ana Tyler,None,0,Retail
EMP_000142,Kathleen Frost,Trainer,Health,2018-02-14,amanda79@example.net,Jeremy Crawford,Workforce Center,0,Technology
EMP_000143,Curtis Graves,Mentor,Operations,2022-05-20,stephenthompson@example.net,Kimberly Brown,Online Portal,0,Technology
EMP_000144,Stephanie Hernandez,Trainer,Health,2016-11-12,kwright@example.com,Ronald Key,Workforce Center,1,Retail
EMP_000145,Beth Baldwin,Administrator,Finance,2025-03-11,bryantdavid@example.com,Ryan Graves,Online Portal,0,Education
EMP_000146,Sonya Cuevas,Case Worker,Finance,2023-08-30,richardharris@example.net,Phillip Roberts,Online Portal,1,Retail
EMP_000147,Ashley Chavez,Manager,Finance,2016-04-11,erin35@example.com,Kevin Chambers,Online Portal,0,Retail
EMP_000148,Richard Cruz,Administrator,Education,2018-08-18,kenneth01@example.org,Jean Thompson,Workforce Center,1,Education
EMP_000149,Joseph Solis,Manager,Health,2016-04-08,leahjohnson@example.com,Stephanie Wilkins,Online Portal,1,Retail
EMP_000150,Amber Dennis,Case Worker,Education,2025-10-25,kelleykevin@example.org,Taylor Atkins,Online Portal,0,Technology
EMP_000151,Valerie Moss,Mentor,Finance,2018-05-18,kimsarah@example.org,Clinton Moore,Workforce Center,0,Technology
EMP_000152,Ronald Anthony,Case Worker,Finance,2025-04-27,charlesnoble@example.net,Chad Johnston,None,1,Retail
EMP_000153,Susan Obrien,Trainer,Operations,2019-03-24,jamesfox@example.net,Christopher Decker,Online Portal,1,Healthcare
EMP_000154,Catherine Davies,Manager,Finance,2016-05-23,hartmanrobert@example.com,Michelle Yang,Workforce Center,1,Education
EMP_000155,Shelby Cross,Trainer,Education,2025-01-31,toddmerritt@example.com,Chase Brown,Workforce Center,1,Education
EMP_000156,William Todd,Mentor,Finance,2020-08-16,daniel00@example.com,Philip Foley,None,0,Education
EMP_000157,Pamela Lawson,Trainer,Education,2023-12-23,jennifer40@example.org,Samantha Thomas,Online Portal,1,Retail
EMP_000158,Larry Small,Mentor,Finance,2017-03-27,annacox@example.org,Jean Howard,Workforce Center,0,Technology
EMP_000159,Tina Hodges,Administrator,Operations,2022-08-06,salazarkelly@example.org,Anthony Pratt,Online Portal,0,Education
EMP_000160,Bethany Mcgee,Case Worker,Health,2018-06-10,shelley08@example.org,Sherri Crawford,None,0,Retail
EMP_000161,Isaiah White,Administrator,Education,2023-09-01,patrickwhitehead@example.org,Brandy Mosley,None,1,Technology
EMP_000162,Ralph Petty,Mentor,Finance,2024-12-02,gdurham@example.com,David Davis,Workforce Center,1,Healthcare
EMP_000163,Michael Anderson,Case Worker,Finance,2017-12-13,joshuahall@example.org,William Gardner,Workforce Center,0,Retail
EMP_000164,Matthew Norton,Trainer,Finance,2019-02-13,ashley41@example.org,John Turner,Workforce Center,1,Technology
EMP_000165,Sandra Miller,Manager,Education,2020-05-04,yrobinson@example.net,Mark Smith,None,1,Technology
EMP_000166,Cheryl Schaefer,Manager,Education,2018-06-20,patrick80@example.com,April Haas,None,0,Technology
EMP_000167,Daniel Wong,Administrator,Health,2024-10-22,whumphrey@example.com,Ms. Carrie Peters,Online Portal,0,Education
EMP_000168,Monique Morgan,Mentor,Finance,2022-06-22,tmendez@example.com,Megan Smith,Online Portal,0,Retail
EMP_000169,Danielle Rice,Mentor,Operations,2022-05-22,brandon80@example.net,Aaron Dean,None,1,Education
EMP_000170,Mrs. Angelica Mcdowell,Manager,Education,2017-04-04,whicks@example.com,Veronica Spencer,Online Portal,1,Technology
EMP_000171,Brian Horn,Case Worker,Education,2018-11-23,phillip78@example.org,Danielle Hunt,Online Portal,0,Technology
EMP_000172,Maurice Lewis,Mentor,Operations,2024-10-11,john69@example.com,Mary Brown,Workforce Center,0,Technology
EMP_000173,Linda Marshall,Mentor,Health,2021-10-28,elizabethlee@example.net,Craig Hart,None,1,Retail
EMP_000174,William Ford,Case Worker,Health,2022-09-07,hcoleman@example.com,Melissa Glover,Online Portal,1,Education
EMP_000175,Tristan Hayes,Manager,Operations,2021-08-11,michelle41@example.net,Sheryl Reynolds,None,0,Education
EMP_000176,Donna Harvey,Administrator,Education,2021-05-04,pthomas@example.com,Nicole Morgan,None,1,Education
EMP_000177,Mary Pittman,Administrator,Finance,2022-10-29,william49@example.org,Gabriela Robinson,None,0,Healthcare
EMP_000178,Dr. Maria Hunt,Case Worker,Education,2023-06-17,claudia29@example.org,Gilbert Roberts DDS,None,1,Healthcare
EMP_000179,Joshua Harvey MD,Manager,Health,2018-07-31,daniel94@example.org,Michael Shaw,Workforce Center,1,Education
EMP_000180,Penny Burnett,Administrator,Education,2017-03-15,david59@example.net,Theresa Yoder,Online Portal,1,Retail
EMP_000181,Jose Hurst,Trainer,Finance,2021-03-03,schultzrichard@example.net,Kimberly Key MD,Workforce Center,1,Retail
EMP_000182,David Black,Administrator,Health,2020-11-14,brittneybarron@example.com,Samuel Wilkinson,Workforce Center,1,Technology
EMP_000183,Kenneth Robinson,Case Worker,Education,2022-07-07,xdunn@example.org,Michelle Cohen,Workforce Center,1,Retail
EMP_000184,Erin Johnson,Trainer,Education,2018-06-08,qharvey@example.com,Eric Ramirez,Workforce Center,0,Technology
EMP_000185,Jessica Keller,Trainer,Education,2016-03-29,johnbell@example.com,Jessica Miller,Workforce Center,1,Healthcare
EMP_000186,Michael Fernandez,Mentor,Education,2019-06-03,kimberly39@example.org,Elizabeth Dean,Online Portal,1,Healthcare
EMP_000187,Craig Williams,Trainer,Education,2020-11-30,sherri61@example.com,Kathleen Murray,None,1,Retail
EMP_000188,Tyler Luna MD,Mentor,Finance,2016-11-09,sburgess@example.com,Loretta Smith,None,0,Education
EMP_000189,Michelle Becker,Case Worker,Health,2023-09-05,shelbywilliams@example.org,Elizabeth Waters,None,0,Retail
EMP_000190,Jon Jones,Manager,Operations,2022-10-07,donna88@example.org,Gina Edwards,None,1,Technology
EMP_000191,Alexander Warren,Mentor,Operations,2025-03-25,ldiaz@example.org,Matthew Malone,Workforce Center,0,Retail
EMP_000192,Michael Doyle,Case Worker,Health,2021-08-19,isaiahcummings@example.com,Barbara Brown,Online Portal,1,Technology
EMP_000193,Johnny Ramirez,Manager,Health,2019-05-02,peggy87@example.com,Catherine Johnson,Online Portal,0,Retail
EMP_000194,Patricia Ferguson,Case Worker,Operations,2018-12-21,drogers@example.com,James Gregory,Online Portal,1,Healthcare
EMP_000195,David Williams,Administrator,Finance,2017-10-06,mpham@example.net,Kendra Collins,Workforce Center,1,Healthcare
EMP_000196,Shawn Ramos,Manager,Operations,2024-01-26,michelleford@example.com,Mrs. Jodi Mcdaniel,Workforce Center,0,Healthcare
EMP_000197,Kenneth Mooney,Manager,Finance,2020-04-15,kwong@example.net,Amanda Clark,Workforce Center,0,Retail
EMP_000198,Kylie Tyler,Administrator,Finance,2022-07-20,webbangel@example.org,James Baker,Online Portal,1,Technology
EMP_000199,Brian Matthews,Trainer,Education,2022-08-01,debbiefernandez@example.com,Ashley Lloyd,None,0,Healthcare
EMP_000200,Amy Becker,Trainer,Education,2016-07-04,williamcook@example.org,Riley Jackson,None,0,Technology
EMP_000201,Cynthia Mcdonald,Manager,Health,2022-01-20,scottharvey@example.com,Joseph Nunez,None,0,Healthcare
EMP_000202,Darrell Oneill,Trainer,Operations,2024-12-07,mike56@example.net,Shannon Jones,Workforce Center,0,Retail
EMP_000203,Jessica Chapman,Manager,Health,2021-09-28,dedwards@example.com,Annette Newman,Workforce Center,0,Technology
EMP_000204,Alexis Williams,Trainer,Health,2024-03-14,danielstokes@example.com,Eric Wells,None,1,Retail
EMP_000205,Samuel Hall,Administrator,Health,2017-03-06,ewinters@example.net,Brandon Greene,None,0,Technology
EMP_000206,Amanda Richards,Manager,Finance,2019-09-29,gibsonchristine@example.com,Carlos Patterson,Online Portal,0,Healthcare
EMP_000207,Mark Weeks,Case Worker,Operations,2021-04-12,uflores@example.net,Terrence Mitchell,Online Portal,0,Technology
EMP_000208,Abigail Bryant,Mentor,Finance,2016-05-13,jacobsjennifer@example.net,Lindsay Garner,Online Portal,1,Healthcare
EMP_000209,Sharon Walters,Mentor,Operations,2021-05-17,sarah36@example.com,Amy Johnson,None,0,Technology
EMP_000210,Robin Miller,Administrator,Education,2022-05-04,jasonrichardson@example.org,Shannon Preston,Workforce Center,0,Technology
EMP_000211,Daniel Hendricks,Case Worker,Finance,2020-12-18,kellyblair@example.net,John Lopez,Workforce Center,1,Healthcare
EMP_000212,Krista Johnson,Mentor,Operations,2016-03-03,bhenderson@example.org,Madison Franklin,Online Portal,1,Retail
EMP_000213,Crystal Rodriguez,Mentor,Operations,2024-11-06,jimenezjennifer@example.org,Karen Johnson,Workforce Center,1,Education
EMP_000214,Valerie Martinez,Administrator,Operations,2017-07-28,iwhite@example.net,Carol Richardson,Workforce Center,1,Education
EMP_000215,Ryan Wilcox,Manager,Finance,2024-05-29,madisonwilson@example.org,Stephanie Santana,Workforce Center,1,Education
EMP_000216,Barry Mccall,Administrator,Finance,2017-05-19,johnsonfernando@example.org,Jill Smith,Workforce Center,0,Education
EMP_000217,Nicholas Bailey,Case Worker,Health,2021-08-07,fhooper@example.net,Travis King,None,1,Technology
EMP_000218,Susan Huffman,Manager,Operations,2023-07-12,xhorn@example.com,Melissa Oconnell,Online Portal,1,Education
EMP_000219,Timothy Coleman,Administrator,Health,2018-03-03,pamelascott@example.org,Angela Bowman,None,1,Education
EMP_000220,Valerie Goodman,Administrator,Health,2024-09-26,rbrown@example.org,Samantha Hoffman,None,0,Retail
EMP_000221,Juan White,Case Worker,Health,2024-10-27,isabelfarmer@example.org,Kathryn Gilbert,None,0,Healthcare
EMP_000222,Taylor Porter,Manager,Education,2023-07-05,vanessameyer@example.com,Annette Singh,Online Portal,1,Healthcare
EMP_000223,Michele Hall,Mentor,Finance,2018-05-20,dcampbell@example.org,Christopher Vaughan,None,1,Healthcare
EMP_000224,Hailey Smith,Manager,Finance,2020-04-20,adoyle@example.com,Julie Potts,None,0,Retail
EMP_000225,Dr. Shelly Bishop,Trainer,Health,2025-06-20,mirandagoodwin@example.net,Nicholas Barry,Online Portal,1,Technology
EMP_000226,Brandy Lambert,Case Worker,Finance,2021-06-25,cynthia40@example.net,Derek Cohen,Workforce Center,0,Education
EMP_000227,Raymond Willis,Mentor,Education,2017-12-09,littlecatherine@example.com,Paula Henson,Workforce Center,1,Education
EMP_000228,Kyle Mora,Manager,Education,2017-01-15,alex65@example.net,Alexa Perez,None,0,Retail
EMP_000229,Sarah Jensen,Trainer,Education,2015-12-26,xgonzales@example.net,James Santiago,None,0,Healthcare
EMP_000230,Michelle Reed,Trainer,Finance,2024-07-01,gomezelizabeth@example.org,Emma Hunter,None,0,Technology
